Ticker,SHEL.L,SHEL.L,SHEL.L,SHEL.L,SHEL.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,BP.L,BP.L,BP.L,BP.L,BP.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L,AZN.L,AZN.L,AZN.L,AZN.L,AZN.L
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1313.9876158123602,1349.1123866218732,1292.4336518328564,1299.418701171875,6288131,4746.202809638061,4823.0472023837,4724.857144986495,4761.14453125,6080704,256.6500856904295,267.0417291462634,252.112457381007,253.80783081054688,68541911.0,381.2447448747359,385.28144177114416,375.91229595444025,379.101806640625,29343345,7415.789735712346,7550.6222763616615,7393.3176456041265,7412.79345703125,4373741
2021-01-05,1308.5993769225886,1388.6280517578125,1306.0049538873352,1388.6280517578125,9980143,4738.73104639931,4771.816943831644,4709.914281303785,4734.4619140625,2861087,255.0045686017363,271.7588806152344,254.85498264427682,271.7588806152344,51679499.0,379.4008042363888,383.1883519212748,375.0650736687539,377.3575439453125,18431746,7435.765995723552,7475.324780344306,7356.8639791134565,7429.7734375,2800020
2021-01-06,1414.5722424322967,1479.9273522704711,1404.1944305600368,1470.45263671875,18249583,4734.462438744773,4808.104857893866,4690.248334703186,4767.54833984375,5715957,279.2384758227689,290.20855880152055,274.9501828321792,289.0118103027344,86834204.0,387.72337829851466,417.1265650846488,387.72337829851466,414.7842712402344,53328129,7397.812852170901,7573.594553532057,7365.852542832509,7502.6826171875,2567664
2021-01-07,1492.4056485295557,1502.2605318186827,1448.110442805389,1471.2509765625,12637268,4779.2885419420545,4807.038151477074,4706.713764592807,4746.203125,8297513,292.4524826567052,296.5413384585152,249.07078446210443,294.1977233886719,128597618.0,413.38892598244945,416.8276163764,405.8138606163436,415.6813659667969,36442644,7565.604482389213,7573.594559730351,7394.816579222407,7465.728515625,2874639
2021-01-08,1469.4549583801193,1481.2298059606487,1453.888299507778,1465.0643310546875,8404958,4736.596899389993,4764.346016963375,4672.133047444285,4749.404296875,9395439,295.94289522305417,298.4859475237605,292.2928460898052,297.8876037597656,78224628.0,412.5915656906904,415.2328631869553,407.1594386144197,410.3987731933594,22570269,7434.766401178306,7489.69817872597,7388.823459956624,7461.73291015625,3028898
2021-01-11,1460.474121799079,1467.6588176317387,1435.9266851091,1459.2767333984375,5101102,4749.405063206818,4764.346785706089,4709.9152157900335,4713.1171875,2647667,296.3917111062678,298.83502952918286,291.7044816209206,297.9873352050781,37867052.0,409.6512423315429,412.8407532222642,403.27225096753045,406.8604431152344,16564968,7482.707796111948,7595.77734460428,7473.718958663335,7546.62841796875,1728696
2021-01-12,1472.0493089495326,1501.5861885197278,1469.2553621047857,1487.6160888671875,8016191,4674.6949331902915,4707.780836793235,4585.043137396997,4611.72509765625,3356643,301.12880886572674,308.259357163136,298.4361397915199,304.1705017089844,54675065.0,408.7042764769865,413.33904033584867,408.7042764769865,411.44525146484375,14890862,7488.700079918552,7488.700079918552,7386.826592568366,7395.8154296875,2085461
2021-01-13,1498.5928503094415,1512.9620006596074,1471.0516945825034,1474.4444580078125,6649949,4602.119703514555,4648.013006851463,4572.235771365369,4644.81103515625,3388111,307.11258269992015,311.1017052266431,301.67739108342425,303.0735778808594,51923962.0,402.97321586614333,405.21583214879115,400.2322404095738,401.8269958496094,19141900,7378.8369855309475,7519.662109375,7370.846907582349,7519.662109375,3474528
2021-01-14,1468.4571949059957,1501.5863653549723,1463.4678730139465,1500.5885009765625,8454360,4642.6766676580555,4668.291466397222,4627.734458082707,4646.94580078125,7081895,302.42528361857853,309.95473852247096,301.8269092870745,308.4089660644531,48245526.0,403.2223967995138,408.85387981757765,402.7240376239279,406.8604431152344,30898467,7470.7224960518915,7589.764605218574,7439.76094560034,7549.62451171875,4881492
2021-01-15,1489.21271249672,1500.1892198469498,1451.0942229765215,1479.832763671875,14273873,4648.011100802677,4697.2588768903925,4643.741969389186,4689.63525390625,3050512,309.0571927113094,310.3037932227576,295.79337544333424,301.6274719238281,44676583.0,404.7174654146223,408.45515914921407,398.6873316897861,401.9266662597656,19699147,7523.656674930745,7582.58349609375,7493.693884508878,7582.58349609375,4424316
2021-01-18,1460.8732881727437,1468.8562023157642,1449.0984410879473,1466.4613037109375,4371189,4674.695721977197,4700.006457122917,4651.215729427881,4655.48486328125,2972873,297.3889955468069,300.1813681933787,294.6963265818718,299.53314208984375,47700699.0,399.8334944705264,403.32200812362134,398.43809509277344,401.67742919921875,8564292,7578.588366543086,7681.46061242526,7553.619374824111,7652.49658203125,2403380
2021-01-19,1469.6543583807218,1481.628728095471,1456.335819865087,1468.25732421875,3932193,4665.090104753104,4706.714279969229,4649.08073162561,4675.7626953125,2108991,301.3282713844754,303.4724181903719,298.4860161140623,300.43072509765625,29146696.0,412.8406451584094,417.27602240967485,406.81048246179915,410.09967041015625,31443356,7740.387144684019,7792.003218006884,7670.47397047397,7712.421875,3108910
2021-01-20,1470.6520985794293,1477.0383311080707,1457.6798658150633,1473.84521484375,4902363,4642.676446456829,4668.291243975573,4611.72486732211,4645.87841796875,2498969,299.8323381920682,302.5250073742271,298.3563827174884,302.0263671875,37313657.0,409.8505210326254,410.79738503757534,402.92331762874824,406.6610107421875,24043501,7676.46672406393,7737.391063143803,7626.28100199977,7635.517578125,2316591
