k,WCSS,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters
3,12525.469434035791,0.5219895406234151,0.6779534830763142,140.37061967712398,2,68,0
5,7661.794066539591,0.3067768486667943,0.811961905862004,127.08210965934323,1,35,1
7,5287.563530449626,0.2887793847969953,0.8900304695615853,126.93324670512192,1,37,2
10,4038.005104981883,0.20249647503926788,1.0061752287459793,110.18114820558864,1,28,2
