Date,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,1.000404621497898,1.0121810961128157,1.0440891972970838,1.0028078876017958,0.9999229888010196,1.0032787201129156,1.012835825320888
2021-01-06,1.0210248517370148,1.0520179298132188,1.0760659509406585,1.06241307759965,1.024398151556857,1.036065620165845,1.0506374607738642
2021-01-07,1.021278159306239,1.0454517826816478,1.0765504102376482,1.0633536983970242,1.0230119146299386,1.0557378404845963,1.0541565982619585
2021-01-08,1.023399804665665,1.0333232121092686,1.0397286939208048,1.0503810988055644,1.0239225817534128,1.0557378404845963,1.0604896694472772
2021-01-11,1.0134336571518023,1.017026906118111,1.0247093466040085,1.034550145125997,1.009862547181429,1.0081965995648043,1.0468584849331146
2021-01-12,1.0014970336217632,1.0183275352479584,1.0440891972970838,1.0425999225347349,0.9987920843600785,0.9885245799635376,1.0466704312266326
2021-01-13,1.0058927136171376,1.010676502167022,1.0232558208316906,1.0229606255928332,0.9976334906727973,0.9918031997177108,1.0483253503602683
2021-01-14,1.0056312439260127,1.0310118322989708,1.0334302794158925,1.0369776324354854,1.0057150614318588,1.032787100770414,1.0578828830492932
2021-01-15,0.9969580569744776,0.9923998754382003,1.0261627984356518,1.0266717305437412,0.9941992822666158,0.9803279803987334,1.0491274000541717
2021-01-18,0.9956907585624607,0.9714845684905727,1.0101744585842016,1.0279043165316266,0.9955102966896616,0.9983605395848,1.0448042299799774
2021-01-19,0.9929629956788458,0.9613423069714081,1.014050428722817,1.0174971369502335,0.987243013036742,0.985245859850622,1.041587827237859
2021-01-20,0.9992905903773712,0.987468310939717,1.0406977603961325,1.022672117934158,0.997782377208897,0.9868851195483376,1.0570514594965277
2021-01-21,0.9983666973341004,0.9887877812694204,1.000968992534654,1.0197179168645993,0.9975425700957361,0.9786885199835332,1.0537600098503637
2021-01-22,0.990536499960353,0.9818198737531503,0.9975774816930284,1.011380920345256,0.9949788404160631,0.9737703394554174,1.0447626958936673
2021-01-25,0.9857426800819477,0.9724531118622852,0.949612462138678,0.9790382414709463,0.9868031956798189,0.9491805407610044,1.0262235592644233
2021-01-26,0.985176568560258,0.9827017483760102,0.9333333136158204,0.9906310104953572,0.9865900893886934,0.9754097998706176,1.0365235173252656
2021-01-27,0.9721053385860342,0.9938326141069197,0.9220930741545106,0.9741951811316311,0.9706957208938399,0.9065573800105858,1.0327841691239519
2021-01-28,0.9719264305226546,1.0071014126857478,0.9393410673306736,0.9804810666191012,0.9711720087299527,0.9344264006116264,1.022061584306409
2021-01-29,0.9560990479403455,0.9911825433638949,0.8885658585148156,0.9660196526617093,0.9546814767867429,0.9409836401199728,1.007985986673414
2021-02-01,0.9704436620536316,0.9977664702887961,0.9118216793465064,0.9791809853361058,0.9733813927135684,0.9606558604387244,1.010216722859861
2021-02-02,0.9830350464457934,1.0043338659981202,0.9182170300752212,0.9983486546112849,0.9825455862586776,0.9639343798341552,1.0180725350327864
2021-02-03,0.9791994922720275,0.9990797724566216,0.8903100450771927,0.9995091140797542,0.9820582443145375,0.9557377802693507,1.0214390864405916
2021-02-04,0.9767492915675687,1.005852738929875,0.9098836942771988,1.0208388335152259,0.985475798631887,0.9508198004587196,1.0199359962635457
2021-02-05,0.9752023444022156,1.0063342466534686,0.9098836942771988,1.0385274880693376,0.9877617370275158,0.959016400023524,1.0240648831658128
2021-02-08,0.9789144908499019,0.9983412297890399,0.9011628354059892,1.0454881386016797,0.98786045529443,0.9557377802693507,1.0316694201499792
2021-02-09,0.9774115866118281,1.0044783666526829,0.8874032153545796,1.042833977809818,0.9892825532597356,0.959016400023524,1.0295430255497562
2021-02-10,0.9737684481634136,1.0009133696673738,0.8992248503366814,1.0428132178857166,0.9866394251901509,0.9524589597976928,1.02638109979459
