Date,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,1.03615656160738,1.0440891972970838,1.0019385674224086,1.0122021688028775,1.0032787201129156,1.0092322487453174,0.9977954335895522,1.0073692381520614,0.9976032192069423,1.0071286282668874
2021-01-06,1.089056738176527,1.0760659509406585,1.0256327448560014,1.047007350608278,1.036065620165845,1.0463281365924582,1.0230949697410932,1.074129650330895,1.018855250844427,1.0412433294567074
2021-01-07,1.1004539563258564,1.0765504102376482,1.0197210605734175,1.0336374122244145,1.0557378404845963,1.0454191661964278,1.0264855939118223,1.0738864229325935,1.0182873005504354,1.0477315215452028
2021-01-08,1.102268188724642,1.0397286939208048,1.0222405613144065,1.030486361831874,1.0557378404845963,1.045771218926048,1.025698047772364,1.0558083080507772,1.02012335015452,1.0493824081183443
2021-01-11,1.098202247423352,1.0247093466040085,1.0071999960095293,1.0236658927891888,1.0081965995648043,1.0271774337998874,1.0126730178628784,1.04035324409984,1.009361840610277,1.036727148127056
2021-01-12,1.107487370248666,1.0440891972970838,1.0021608520940202,1.023564157877412,0.9885245799635376,1.029146694005759,0.9952361628631401,1.0461197728847724,0.996761138332558,1.0350298796328619
2021-01-13,1.1127702664911083,1.0232558208316906,1.003547129052489,1.018393692136072,0.9918031997177108,1.0182894467184305,0.9913913168275668,1.0294066347746953,1.0008088232364856,1.0373190600784714
2021-01-14,1.1316517954941865,1.0334302794158925,1.0148235706400954,1.036201048783708,1.032787100770414,1.0263637673663946,0.9961005239342753,1.046360008078698,1.000122162454969,1.0470369982180476
2021-01-15,1.1173001233614146,1.0261627984356518,1.001196274924522,1.0224437034807055,0.9803279803987334,1.022224839782719,0.9868135677943815,0.9964056128832871,0.990954067006913,1.0425306500088336
2021-01-18,1.1135505934628882,1.0101744585842016,1.0055597357122588,1.010279416097602,0.9983605395848,1.0164504442355367,0.9849025554991413,0.9918723724398649,0.9895304888165531,1.0400024406293813
2021-01-19,1.1132132481524046,1.014050428722817,0.9975343145945947,1.010695271428603,0.985245859850622,1.0182605173269508,0.9763799725034527,0.9636598739856247,0.9875815889907757,1.0303353621101015
2021-01-20,1.1207477396830952,1.0406977603961325,1.0057170719063087,1.028489073295976,0.9868851195483376,1.029067533833031,0.9894068661394064,0.9712834931631333,0.9924415128322364,1.0534953748370095
2021-01-21,1.1033680549353415,1.000968992534654,1.0043936104310263,1.0169949897405415,0.9786885199835332,1.0373939147221072,0.9903109164084858,0.9651671926923349,0.99093101665986,1.0516475202204223
2021-01-22,1.096941510116115,0.9975774816930284,1.00220892988374,1.008147722147667,0.9737703394554174,1.0341893069295245,0.9873470793112933,0.9612814845516174,0.9835064366963501,1.0343088476812867
2021-01-25,1.0750752644688102,0.949612462138678,0.9908610014608791,0.9934434237034764,0.9491805407610044,1.01161802558386,0.9825199562442557,0.9396052570062647,0.9785095252897521,1.01807333312924
2021-01-26,1.0733200017758822,0.9333333136158204,0.9913814506465133,1.0000377474858324,0.9754097998706176,1.0191593731605357,0.9815325413943279,0.9634668999755716,0.978348671297751,1.0258226428654598
2021-01-27,1.042187059514896,0.9220930741545106,0.981023325229909,1.0114562053434792,0.9065573800105858,1.0173359688514219,0.9597943607613223,0.9434486330577233,0.9649702717527334,1.0260463307167167
2021-01-28,1.043492107125407,0.9393410673306736,0.9839189515807233,1.0191054161322164,0.9344264006116264,1.0072479765097655,0.9577169023874725,0.9609789739711232,0.9658774166667053,1.0188683318098777
2021-01-29,1.026723217199378,0.8885658585148156,0.9667860777353304,0.9994752538899169,0.9409836401199728,0.9870539879621697,0.9419043980076786,0.9533718946946594,0.950830424826881,1.0061717228837819
2021-02-01,1.0210885258470837,0.9118216793465064,0.9830559004352157,1.0150101135963923,0.9606558604387244,0.997208187138282,0.9631694123407182,0.9673914831529753,0.9653117227695377,1.008218542014439
2021-02-02,1.000670287119444,0.9182170300752212,0.9922489462149122,1.023842231694686,0.9639343798341552,1.0108020167050393,0.9723031507493195,0.9833861977501313,0.9780715538290015,1.0249416932315292
2021-02-03,1.0043200185007028,0.8903100450771927,0.9890973980811276,1.022880292782393,0.9557377802693507,1.0086531719941512,0.9746280264498033,0.9823064547807844,0.9737566741958831,1.0301460554422586
2021-02-04,1.0015546133177011,0.9098836942771988,0.9901171802024511,1.02976650689717,0.9508198004587196,1.0227268793327156,0.9805765625296251,1.0003391083756652,0.9709257988422755,1.0266295119136872
2021-02-05,1.008934053561258,0.9098836942771988,0.9922078534033796,1.0252900659713882,0.959016400023524,1.0392554574716804,0.9830686141863265,1.0061330497773304,0.9667336718943975,1.0352164671436916
2021-02-08,1.0299323572232704,0.9011628354059892,0.9897023225901516,1.027533213819251,0.9557377802693507,1.0382382617543393,0.9859162620378353,1.013008758157341,0.9710466189094803,1.0381692043883874
2021-02-09,1.026320474470401,0.8874032153545796,0.9925012586122066,1.030701538089583,0.959016400023524,1.0401356273672662,0.9858850309432385,1.0103033165222688,0.9695619750770818,1.0349584980092785
