Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters
average,4,4,0.5065359236735822,0.46109053607815476,96.29076448467241,1,24,2
complete,3,3,0.5194652665079011,0.5183891525197328,104.46624869283593,1,24,1
single,6,6,0.44695123088159894,0.5541318632825141,79.82265200979525,1,24,3
ward,3,3,0.5194652665079011,0.5183891525197328,104.46624869283593,1,24,1
