Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Mean Metric Rank,Cluster Size Ratio
ward,2,2,0.5077106787719301,0.843164752303183,75.95424189525635,31,67,0,10.0,30.0,23.0,21.0,2.161290322580645
ward,3,3,0.5106621400408752,0.5734448127300519,112.31051205284182,1,67,1,9.0,18.0,7.0,11.333333333333334,67.0
ward,4,4,0.4770095025445495,0.6941999303296251,127.05573797979194,1,67,1,14.0,24.0,2.0,13.333333333333334,67.0
ward,5,5,0.29243086909311483,0.843601468782501,121.52815503956865,1,34,1,23.0,31.0,4.0,19.333333333333332,34.0
ward,6,6,0.2922224539281107,0.7478668954792324,127.57018634942243,1,34,2,24.0,25.0,1.0,16.666666666666668,34.0
ward,7,7,0.28281844264992445,0.8836621235986674,125.22407311012347,1,34,2,27.0,33.0,3.0,21.0,34.0
ward,8,8,0.2807972175005731,0.8980802789887425,116.96588444483983,1,34,2,29.0,35.0,6.0,23.333333333333332,34.0
ward,9,9,0.2820094901576466,0.8832612695236595,110.93426165551391,1,34,2,28.0,32.0,8.0,22.666666666666668,34.0
ward,10,10,0.20352398284321593,1.0036797567028022,107.62879636648425,1,33,2,35.0,36.0,9.0,26.666666666666668,33.0
