Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Mean Metric Rank,Cluster Size Ratio
single,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1,1.0,1.0,26.0,9.333333333333334,97.0
single,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,4.0,3.0,28.0,11.666666666666666,96.0
single,4,4,0.48064695361706333,0.23045515788262805,34.32193815667673,1,95,3,13.0,6.0,31.0,16.666666666666668,95.0
single,5,5,0.49125902956364276,0.22496711948068268,31.577603942705487,1,94,4,12.0,5.0,33.0,16.666666666666668,94.0
single,6,6,0.503235552569084,0.3736237826187328,36.72437056479905,1,91,4,11.0,11.0,30.0,17.333333333333332,91.0
single,7,7,0.42248934179717357,0.36941286226495074,33.10632841580188,1,90,5,19.0,10.0,32.0,20.333333333333332,90.0
single,8,8,0.4178888664046643,0.3164362090832283,28.53822867530147,1,90,6,20.0,8.0,34.0,20.666666666666668,90.0
single,9,9,0.40093617176873453,0.25508206772614134,24.898865994580184,1,90,8,22.0,7.0,35.0,21.333333333333332,90.0
single,10,10,0.10244409573037681,0.31684138525373046,22.576479072672573,1,89,9,36.0,9.0,36.0,27.0,89.0
