Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Davies-Bouldin Rank,Calinski-Harabasz Rank,Mean Metric Rank,Cluster Size Ratio
average,2,2,0.8028068480721032,0.4102310046299975,79.79448273784593,2,96,0,3.0,14.0,20.0,12.333333333333334,48.0
average,3,3,0.7273468595495487,0.14316981644964746,45.85800255911658,1,96,2,4.0,3.0,28.0,11.666666666666666,96.0
average,4,4,0.5572605126858684,0.4086581621477382,58.773008294679144,1,91,2,7.0,12.0,24.0,14.333333333333334,91.0
average,5,5,0.47442387156736054,0.6091987500562778,119.13671221324645,1,67,2,15.0,19.0,5.0,13.0,67.0
average,6,6,0.4596342116734125,0.5692496208765402,99.29217839443808,1,67,3,16.0,17.0,13.0,15.333333333333334,67.0
average,7,7,0.45640739822310394,0.5245501223647187,87.04188641906723,1,67,3,17.0,16.0,16.0,16.333333333333332,67.0
average,8,8,0.42302775023783973,0.6371107410743027,84.00693088745302,1,67,3,18.0,21.0,17.0,18.666666666666668,67.0
average,9,9,0.4094489267874539,0.6467527367788082,80.70083582147937,1,67,3,21.0,22.0,19.0,20.666666666666668,67.0
average,10,10,0.28977716052078806,0.6867432240418898,76.46260573266807,1,65,3,25.0,23.0,22.0,23.333333333333332,65.0
