Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters
average,2,2,0.8028068480721032,0.4102310046299975,79.79448273784593,2,96,0
complete,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1
single,2,2,0.8253161110271713,0.1083373976807232,52.86731470312447,1,97,1
ward,3,3,0.5106621400408752,0.5734448127300519,112.31051205284182,1,67,1
