Linkage,Requested k,Actual Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters
average,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1
complete,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1
single,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1
ward,2,2,0.8195912584522679,0.10989770106000582,59.692430909566255,1,39,1
