PC1,PC2,Ticker,DBSCAN Label
22.10917244620897,-3.5802674175150915,AAF.L,-1
-10.554007365197888,-1.6530184066763682,AAL.L,0
-19.41344045272144,6.555095880810959,ABDN.L,0
-10.47224007792484,2.2721013984537866,ABF.L,0
-10.419423585668174,4.846998500777173,ADM.L,0
-1.383386299002887,-1.9511484824838057,ALW.L,0
-1.6539927539433807,2.372412807011844,ANTO.L,0
-3.3995469119932933,-0.7643913890539986,AUTO.L,0
7.730434499375571,-2.885193942035073,AV.L,0
4.449832676078804,-7.906041273532289,AZN.L,-1
40.175310149197784,-7.946158019723437,BA.L,-1
35.21974560961771,8.273766361570797,BAB.L,-1
14.321104908666502,4.457570549370756,BARC.L,-1
-4.936703623880181,0.887322972582432,BATS.L,0
-12.292167845311859,-0.8198394201866301,BBOX.L,0
18.655057279132574,-6.851500704554794,BEZ.L,-1
79.50723724121913,-3.4263281179752876,BGEO.L,-1
-12.945694443126921,0.8527683999616357,BKG.L,0
-14.519792455843383,1.7099749994246891,BLND.L,0
-6.565866472083208,-5.258216461685693,BNZL.L,-1
8.888908625978065,-16.523018517983086,BP.L,-1
-17.58497297501965,-1.8662681387073239,BRBY.L,0
-5.146409785711634,0.9316669471392048,BT-A.L,0
-17.68699241085303,3.583294941433121,BTRW.L,0
6.951116759250028,-6.511016042292515,CCEP.L,0
-2.0936560811883576,4.341923630308363,CCH.L,0
43.8361401291077,-19.65937773751289,CNA.L,-1
12.022744616710776,-7.083818185668317,CPG.L,1
-20.082283883540278,-1.6304424701344236,CRDA.L,0
-4.980961018862654,-1.720638093506963,CTEC.L,0
-10.769998519352905,-0.07652492219536859,DCC.L,0
-13.91806609547205,-5.938037222548818,DGE.L,-1
14.525672762427662,-2.262541319780732,DPLM.L,-1
-18.427891074310345,10.551214145159078,EDV.L,-1
-19.40639638181166,0.8234753735302582,ENT.L,0
-4.3811741825221535,0.34872095311053,EXPN.L,0
-0.515979815160172,-1.4994174674836638,FCIT.L,0
-11.017389378093739,14.654688619553356,FRES.L,-1
-5.889383383285464,6.816747742643501,GAW.L,0
4.569662859414888,-20.052140821338302,GLEN.L,-1
-6.849732965930804,-1.868879873060775,GSK.L,0
-6.908289207872966,3.7450565233382864,HLMA.L,0
18.887352664181986,-3.9767596763849262,HSBA.L,-1
-4.589125111416363,0.5815928646271372,HSX.L,0
-5.2740013508669215,-0.48016205846358434,HWDN.L,0
10.902784319880768,7.838689670923128,IAG.L,-1
-6.0160411537627665,2.7668256888083507,ICG.L,0
-7.566968061063208,4.466471131316691,IGG.L,0
11.922003998709561,-1.6525118025245287,IHG.L,-1
36.022878909821465,-1.6872761587354934,III.L,-1
6.432827742875759,-0.060803453691055456,IMB.L,0
5.81007743287598,-2.230010516237484,IMI.L,0
3.4192600677576186,-3.083854716573165,INF.L,0
-14.637237702669806,4.52570426170308,ITRK.L,0
-18.040857412821126,0.09426684259893894,JD.L,0
-10.03834685588407,1.6176742298789368,KGF.L,0
-11.432759621229346,-0.6697872518883934,LAND.L,0
-11.326576382212474,0.6559429408173397,LGEN.L,0
13.23145458915725,-1.2748789993066905,LLOY.L,-1
-14.034942032131665,1.7322405147633104,LMP.L,0
-8.469055456115335,2.4121718123795217,LSEG.L,0
25.869919939691435,-3.3925624777463614,MKS.L,-1
-18.31818875662169,1.2757524059566019,MNDI.L,0
-5.738323720596212,0.6184614400798951,MNG.L,0
-2.3976893896461347,1.7932744261366749,MRO.L,0
-4.885259294728419,-3.5107119966388063,NG.L,0
26.600911916070192,-0.5588790629905824,NWG.L,-1
3.2355221895291075,3.3180161075779124,NXT.L,0
1.350774494145026,4.160596183333162,PCT.L,0
-18.190567216909205,4.509535551343556,PRU.L,0
3.207550457275672,-0.8475855361801492,PSH.L,0
-22.68958903965243,7.116923388385392,PSN.L,0
4.416477503267879,-4.614506779251151,PSON.L,0
12.279531619665056,-6.786492611561782,REL.L,1
-12.72757788326394,0.7248690387433142,RIO.L,0
-15.043858432099436,2.47107022362108,RKT.L,0
-10.069308966966958,2.7644498059370166,RMV.L,0
128.6164391889431,29.120687320116744,RR.L,-1
-14.521990509894549,-1.3872687445420875,RTO.L,0
-3.126663376470766,-1.6261364489676446,SBRY.L,0
-18.08735416216504,3.2574178073830344,SDR.L,0
13.025954572775667,-7.619222019537128,SGE.L,1
-15.038959136414137,-0.43636211741249237,SGRO.L,0
16.226982323473273,-14.727210511345103,SHEL.L,-1
-2.6285854984746604,1.381583618802034,SMIN.L,0
-15.299152273763813,7.101844876441925,SMT.L,0
-16.45759147235244,5.398189773996543,SN.L,0
-17.606365797617315,-0.7984020758284337,SPX.L,0
-5.464540694373313,-2.088178942147163,SSE.L,0
22.53116860645605,1.9172864048641227,STAN.L,-1
-12.491259405557342,2.7291083753456737,STJ.L,-1
-6.215225274776756,-3.3419012157919026,SVT.L,0
-4.562840517768309,4.5155353104937905,TSCO.L,0
-9.749939676197792,2.049122047482722,ULVR.L,0
-4.6352193781926045,-2.3293218788697234,UU.L,0
-18.467740795121408,4.146715537619909,VOD.L,0
-7.097519587407806,4.681042576181763,WEIR.L,0
-9.798952256048105,-0.8528514235877395,WTB.L,0
