Date,Cluster 1,Cluster 2,Noise Mean
2021-01-04,1.0,1.0,1.0
2021-01-05,1.0000683138337303,0.9982609213118501,1.0124401297881638
2021-01-06,1.0255146304620357,1.015173340336131,1.0535129176140712
2021-01-07,1.0252304822424765,1.0083291810751895,1.0551190687390688
2021-01-08,1.0280145792260529,1.0317507127184415,1.0440245854316386
2021-01-11,1.0157140450384925,1.0101524762531922,1.0289092943446203
2021-01-12,1.0046739105863074,0.9940916045401114,1.0329991274233818
2021-01-13,1.00637138479607,0.9898391524526255,1.0245235513654547
2021-01-14,1.0117012602492492,0.9988168243320069,1.0364086154146777
2021-01-15,1.0020677099240678,0.9917106070921289,1.0180611052197692
2021-01-18,1.002548214362206,0.9886146925582994,1.0116530589774166
2021-01-19,0.9963162568163694,0.9879298203414058,1.005613261706253
2021-01-20,1.006699719687818,1.0011297398922423,1.0153069349728223
2021-01-21,1.0063743906760632,1.0133215913712097,1.0089362611034285
2021-01-22,1.000117158189469,1.0219086650198335,1.0021766115217414
2021-01-25,0.9921932765697223,1.0058662152017157,0.9819361214972788
2021-01-26,0.9939387637751844,1.0207952875106558,0.9865156370041686
2021-01-27,0.9826315969291716,1.020381419716366,0.9697242786383428
2021-01-28,0.9799359613921678,1.002816663895241,0.9800584097191514
2021-01-29,0.9631805613195528,0.9814097777545984,0.9673092294532583
2021-02-01,0.9781040961638675,1.0024227397157517,0.9776687338039515
2021-02-02,0.9894193500903754,1.0115970271190327,0.9871354236791631
2021-02-03,0.9889240189025661,1.0014743135169057,0.9841667299907182
2021-02-04,0.989140899397936,1.0180291250094797,0.9920632228153987
2021-02-05,0.9895482165787582,1.0173570046806344,1.0012225412701539
2021-02-08,0.991737153218156,1.0220579860450796,1.0039430933149314
2021-02-09,0.9919024080755485,1.0173250709195647,1.0029958420089158
2021-02-10,0.9895834800864937,0.994492620932386,1.0014864481885828
2021-02-11,0.9952942414679515,1.006271549718365,0.997136279757706
2021-02-12,1.000848530117249,1.0154910154426935,1.0033099491947999
