k,Smallest Cluster,Largest Cluster,Singleton Clusters,Inertia
2,33,65,0,0.0795960596130789
3,16,52,0,0.057062080643681165
4,6,54,0,0.044621028402086683
5,6,43,0,0.038069114705127895
6,6,43,0,0.0316026409491942
7,3,27,0,0.03106706441939238
8,1,43,1,0.02839674718664909
9,2,26,0,0.026013392140280662
10,4,17,0,0.025061382901475488
