Ticker,Cluster
GSK.L,1
NG.L,1
SSE.L,1
SVT.L,1
UU.L,1
WTB.L,1
AAL.L,2
ABF.L,2
ADM.L,2
BATS.L,2
BKG.L,2
BRBY.L,2
BT-A.L,2
DCC.L,2
HWDN.L,2
ICG.L,2
ITRK.L,2
KGF.L,2
RKT.L,2
RMV.L,2
RTO.L,2
SMT.L,2
AAF.L,3
ALW.L,3
ANTO.L,3
AUTO.L,3
AV.L,3
AZN.L,3
BA.L,3
BAB.L,3
BARC.L,3
BEZ.L,3
BGEO.L,3
BNZL.L,3
BP.L,3
CCEP.L,3
CCH.L,3
CNA.L,3
CPG.L,3
CTEC.L,3
DPLM.L,3
EDV.L,3
EXPN.L,3
FCIT.L,3
FRES.L,3
GAW.L,3
HLMA.L,3
HSBA.L,3
HSX.L,3
IAG.L,3
IGG.L,3
IHG.L,3
III.L,3
IMB.L,3
IMI.L,3
INF.L,3
LLOY.L,3
LSEG.L,3
MKS.L,3
MNG.L,3
MRO.L,3
NWG.L,3
NXT.L,3
PCT.L,3
PSH.L,3
PSON.L,3
REL.L,3
RR.L,3
SBRY.L,3
SGE.L,3
SHEL.L,3
SMIN.L,3
STAN.L,3
TSCO.L,3
ULVR.L,3
WEIR.L,3
ABDN.L,4
BBOX.L,4
BLND.L,4
BTRW.L,4
CRDA.L,4
DGE.L,4
ENT.L,4
GLEN.L,4
JD.L,4
LAND.L,4
LGEN.L,4
LMP.L,4
MNDI.L,4
PRU.L,4
PSN.L,4
RIO.L,4
SDR.L,4
SGRO.L,4
SN.L,4
SPX.L,4
STJ.L,4
VOD.L,4
