Date,Cluster 1,Cluster 2
2021-01-04,1.0,1.0
2021-01-05,1.0014930382434073,1.004210300475735
2021-01-06,1.0303261380506716,1.0337938896181929
2021-01-07,1.0311464046155463,1.0334023885055266
2021-01-08,1.03395566859877,1.0315747732648641
2021-01-11,1.0187548549003536,1.0191916611948313
2021-01-12,1.0097700050869594,1.012928335218674
2021-01-13,1.0093158591045914,1.011374338359031
2021-01-14,1.0196510057675512,1.0169535113945636
2021-01-15,1.008069259754527,1.0049401072284874
2021-01-18,1.009690172468262,1.0019211493942661
2021-01-19,1.0006652586500107,0.9974400376963993
2021-01-20,1.0117748555178008,1.0073089223898792
2021-01-21,1.0102805982496044,1.0057366273417565
2021-01-22,1.0075798404332086,0.9981579550061882
2021-01-25,0.9970384648763083,0.9862616084142622
2021-01-26,0.9976061744050149,0.9903471287655783
2021-01-27,0.9840812408180002,0.9784749960748432
2021-01-28,0.983424285369368,0.9792699778962165
2021-01-29,0.9651365817672292,0.9646803204889088
2021-02-01,0.9829969473341628,0.9765682872512227
2021-02-02,0.9925882316835007,0.9879205478107034
2021-02-03,0.9925934442098349,0.985737408702491
2021-02-04,0.9968701520918641,0.9877190493485369
2021-02-05,1.000436492187351,0.989973535212579
2021-02-08,1.0007444863155626,0.9934459985840413
2021-02-09,1.0018465600092576,0.9924645658753513
2021-02-10,1.0002994014467999,0.9891308522142144
2021-02-11,1.0059049893854521,0.9911507066834492
2021-02-12,1.0118802465985792,0.996908187165076
2021-02-15,1.037313929185443,1.0165231388602434
2021-02-16,1.0338536620515668,1.0167541127912765
2021-02-17,1.025241970997993,1.006755003072256
2021-02-18,1.0141980785412892,0.9933097532210018
2021-02-19,1.0205806072513228,0.9972321697436451
2021-02-22,1.0126998423122238,0.9980473124576951
2021-02-23,1.0129342012443945,1.0015878532136144
2021-02-24,1.0185127229872384,1.0083602448530475
2021-02-25,1.0122838418577078,1.0036859348583962
2021-02-26,0.9851391526792377,0.9809635005101243
2021-03-01,1.0072364603261157,0.9963686812303562
2021-03-02,1.0081108505723777,0.9983597543196717
2021-03-03,1.0229254372478591,1.0056538457388535
2021-03-04,1.0124635964223019,1.000265506496566
2021-03-05,1.0012293454869707,0.9930377076832791
2021-03-08,1.0155571560711583,1.0068372930641087
2021-03-09,1.02200343968419,1.0141250740522527
2021-03-10,1.0244552379408547,1.0123304540483251
2021-03-11,1.0295519558515356,1.014774782508696
2021-03-12,1.0317218547536235,1.0168253570362513
2021-03-15,1.0305706290068115,1.0175549400570822
2021-03-16,1.0483156976771353,1.0287431190748577
2021-03-17,1.0386093558212766,1.0212753895787163
2021-03-18,1.0419262633850985,1.0230715995030701
2021-03-19,1.030865204610196,1.013599329267054
2021-03-22,1.0345225602654649,1.0111146873269634
2021-03-23,1.0332126646004243,1.004350699772623
2021-03-24,1.0379697398723162,1.0072159896857389
2021-03-25,1.0348600238597703,1.0027480758015295
2021-03-26,1.0427059122085378,1.012245206288995
2021-03-29,1.038248337353433,1.0081670712220383
2021-03-30,1.0462835424956753,1.017654661313963
2021-03-31,1.0376365577730964,1.013653449967002
2021-04-01,1.0521310170068638,1.0225161135040475
2021-04-06,1.0627799659234647,1.0345766898648816
2021-04-07,1.0724609935950262,1.0441659613867125
2021-04-08,1.0801315983111586,1.0521908382425156
2021-04-09,1.0828555778970388,1.0502441757686685
2021-04-12,1.0756848549253781,1.0487105811302568
2021-04-13,1.079976164700427,1.054224020940003
2021-04-14,1.0830843575525406,1.0558863681354589
2021-04-15,1.0888331430339513,1.0610171293189643
2021-04-16,1.0952556858326083,1.0663493600875114
2021-04-19,1.0931168572408383,1.064512783513461
2021-04-20,1.076583207792459,1.0403219892739466
2021-04-21,1.079393247450655,1.042875283630775
2021-04-22,1.0898857161520208,1.0505885424688997
2021-04-23,1.090487092402081,1.0492128581674496
2021-04-26,1.0948394549680054,1.0601326152846524
2021-04-27,1.0924048333952392,1.054409356986998
2021-04-28,1.0923429416568167,1.0550355533912001
2021-04-29,1.0919469098367038,1.0541130649539259
2021-04-30,1.0910540930555572,1.0554511310964032
2021-05-04,1.0837728448189803,1.0442069550034028
2021-05-05,1.0977826471533882,1.0566012551427713
2021-05-06,1.102553811503973,1.0612047140655956
2021-05-07,1.110615250688056,1.0728597282690697
2021-05-10,1.107688186853212,1.0697212604267974
2021-05-11,1.0776429214586833,1.039772636642262
2021-05-12,1.079520378615777,1.0440351631885294
2021-05-13,1.0711756449413303,1.0432427044735728
2021-05-14,1.0887244422376094,1.0576736449382582
2021-05-17,1.0840492386187703,1.0529819010190216
2021-05-18,1.0861169151126373,1.0557281392346884
2021-05-19,1.074148763858222,1.046614188175873
2021-05-20,1.0883843006308804,1.0563674119087705
2021-05-21,1.0851764526983858,1.057541561762039
2021-05-24,1.0924688426439835,1.063137358963005
2021-05-25,1.0882542715870591,1.0630990634503688
2021-05-26,1.091134589165162,1.0676352115984824
