Ticker,Cluster
AAF.L,1
ABF.L,1
BATS.L,1
BKG.L,1
BT-A.L,1
EDV.L,1
FRES.L,1
GSK.L,1
HWDN.L,1
ICG.L,1
NG.L,1
RMV.L,1
SSE.L,1
SVT.L,1
UU.L,1
WTB.L,1
ADM.L,2
ALW.L,2
ANTO.L,2
AUTO.L,2
AV.L,2
AZN.L,2
BA.L,2
BAB.L,2
BARC.L,2
BEZ.L,2
BGEO.L,2
BNZL.L,2
BP.L,2
CCEP.L,2
CCH.L,2
CNA.L,2
CPG.L,2
CTEC.L,2
DPLM.L,2
EXPN.L,2
FCIT.L,2
GAW.L,2
HLMA.L,2
HSBA.L,2
HSX.L,2
IAG.L,2
IGG.L,2
IHG.L,2
III.L,2
IMB.L,2
IMI.L,2
INF.L,2
LLOY.L,2
LSEG.L,2
MKS.L,2
MNG.L,2
MRO.L,2
NWG.L,2
NXT.L,2
PCT.L,2
PSH.L,2
PSON.L,2
REL.L,2
RR.L,2
SBRY.L,2
SGE.L,2
SHEL.L,2
SMIN.L,2
STAN.L,2
TSCO.L,2
ULVR.L,2
WEIR.L,2
AAL.L,3
ABDN.L,3
BBOX.L,3
BLND.L,3
BRBY.L,3
BTRW.L,3
CRDA.L,3
DCC.L,3
DGE.L,3
ENT.L,3
GLEN.L,3
ITRK.L,3
JD.L,3
KGF.L,3
LAND.L,3
LGEN.L,3
LMP.L,3
MNDI.L,3
PRU.L,3
PSN.L,3
RIO.L,3
RKT.L,3
RTO.L,3
SDR.L,3
SGRO.L,3
SMT.L,3
SN.L,3
SPX.L,3
STJ.L,3
VOD.L,3
