k,WCSS,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Smallest Cluster,Largest Cluster,Singleton Clusters
2,25892.956159521742,0.6411324272623126,0.7676855906092344,87.67450020232504,10,88,0
3,12525.469434035791,0.5219895406234151,0.6779534830763142,140.37061967712398,2,68,0
4,9579.287560778297,0.4836074944094639,0.6634787018977637,130.7105558518695,1,66,1
5,7661.794066539591,0.3067768486667943,0.811961905862004,127.08210965934323,1,35,1
6,6058.224788889205,0.3017726267707021,0.7853247557378,132.06369024898808,1,35,2
7,5287.563530449626,0.2887793847969953,0.8900304695615853,126.93324670512192,1,37,2
8,4806.874883402083,0.290752245228657,0.8007092453609377,119.65049770757263,1,35,2
9,4385.379375792648,0.21915962286222918,0.9957670385663686,114.55093343923554,1,27,2
10,4038.005104981883,0.20249647503926788,1.0061752287459793,110.18114820558864,1,28,2
