Ticker,Cluster
EDV.L,1
FRES.L,1
AZN.L,2
BA.L,2
BEZ.L,2
CCEP.L,2
CNA.L,2
CPG.L,2
HSX.L,2
INF.L,2
PSON.L,2
REL.L,2
SGE.L,2
SHEL.L,2
ALW.L,3
AUTO.L,3
BP.L,3
CTEC.L,3
EXPN.L,3
IHG.L,3
III.L,3
MKS.L,3
MRO.L,3
PSH.L,3
ULVR.L,3
ABF.L,4
BATS.L,4
BKG.L,4
BT-A.L,4
GLEN.L,4
HWDN.L,4
ICG.L,4
RMV.L,4
WTB.L,4
GSK.L,5
NG.L,5
SSE.L,5
SVT.L,5
UU.L,5
ADM.L,6
HLMA.L,6
IGG.L,6
SBRY.L,6
AAL.L,7
BBOX.L,7
BLND.L,7
BRBY.L,7
BTRW.L,7
DCC.L,7
ITRK.L,7
KGF.L,7
LAND.L,7
LMP.L,7
PSN.L,7
SGRO.L,7
SMT.L,7
ABDN.L,8
CRDA.L,8
DGE.L,8
ENT.L,8
JD.L,8
LGEN.L,8
MNDI.L,8
PRU.L,8
RIO.L,8
RKT.L,8
RTO.L,8
SDR.L,8
SN.L,8
SPX.L,8
STJ.L,8
VOD.L,8
AAF.L,9
ANTO.L,9
AV.L,9
BAB.L,9
BARC.L,9
BGEO.L,9
BNZL.L,9
CCH.L,9
DPLM.L,9
FCIT.L,9
GAW.L,9
HSBA.L,9
IAG.L,9
IMB.L,9
IMI.L,9
LLOY.L,9
LSEG.L,9
MNG.L,9
NWG.L,9
NXT.L,9
PCT.L,9
RR.L,9
SMIN.L,9
STAN.L,9
TSCO.L,9
WEIR.L,9
