Date,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,0.9976886185992152,1.0077897485614793,1.0027662738016816,1.0063126576234673,0.9899685714984582,1.002078741903439,1.0183221871526136,1.0032371267407403
2021-01-06,1.0267342178980507,1.0136321901402243,1.0237294072343246,1.058592669400469,1.020303689710223,1.0232763365609643,1.052719443396786,1.0347038160548143
2021-01-07,1.0284303549534926,1.0116846600301148,1.020456889922158,1.0765327487878793,1.0155631094640047,1.0191267990249142,1.062282203427507,1.0333856815613904
2021-01-08,1.0313420103216182,1.010710932162956,1.0065140678370896,1.0776345651677566,1.021948430188494,1.0257951402269725,1.0602274269380405,1.0323270132580007
2021-01-11,1.0212542106962794,0.9961053116587402,0.9968069245578243,1.0597836085372696,1.0137312545851989,1.0058514304725914,1.050884620327189,1.0182307555632308
2021-01-12,1.0056095692804823,0.9912368210745294,0.9890797450564749,1.054534153305136,0.9974360376471776,0.9961822547044539,1.055599167352384,1.0126406312166718
2021-01-13,1.0079334101635564,0.9892892909644198,0.9880785583030747,1.0472724606105859,1.0097108197164224,0.9930798881420128,1.058979246800217,1.008798658455023
2021-01-14,1.0125028997067262,0.981499839906108,0.9931661863511275,1.068941401180785,1.004527087798596,1.0060094180050585,1.0656366883109785,1.0162318567443294
2021-01-15,1.0007919080206964,0.9698151798759932,0.9834374393116404,1.0313525116290692,1.0076892355804428,0.9974769820077335,1.052878862897759,1.0030319886959524
2021-01-18,1.0002727481995861,0.9595911860224088,0.9716154519887448,1.0357776044301883,1.0020084602615498,1.0043802864963787,1.0527907882776897,1.0007062189125513
2021-01-19,0.9901365203740242,0.9659203427831496,0.9610960205776481,1.0217500853636865,1.004889449546321,0.9968126479288876,1.0529799038436876,0.9951889088280931
2021-01-20,1.0007051683420924,0.9883156374730528,0.969716636120806,1.040274773497026,1.0024988275117472,1.0072052137045253,1.0593383205688949,1.007235883274882
2021-01-21,1.0040044190078827,0.9922105489416884,0.970424117434,1.0332857747269435,0.9941892861935451,1.0027036643938698,1.0561924740381154,1.0061273411501646
2021-01-22,1.0017094225167766,0.9912368210745294,0.96974774233694,1.0274429046154916,1.0053713548841918,1.0024198375551914,1.0452841495458203,0.9951932117529008
2021-01-25,0.9960456600320081,0.9922105489416884,0.959066132096408,1.0105876926696002,1.017585027720394,0.9919100763224913,1.0258413697278863,0.980744920632913
2021-01-26,0.9974343046569641,0.998052693017266,0.9537116969464875,1.0122960481518188,1.0122026417668488,0.9956842414060189,1.0306507940456664,0.9860808029214245
2021-01-27,0.9792269612417138,0.985394528247368,0.9295448415151601,0.9852923472452475,1.0030290838213856,0.9912070264128694,1.014770301515823,0.9767135639081783
2021-01-28,0.9746081793312332,0.9834470725130502,0.9348343543245383,0.9966449533356602,0.9963503344555725,0.9905950938751553,1.0180707102511062,0.977161917178028
2021-01-29,0.9555682604282082,0.974683596084412,0.9228975991720095,0.9789154914948409,0.9832293515575744,0.9728369178121585,1.0000080927129322,0.9622764569099188
2021-02-01,0.9736011440173444,0.973710016968837,0.9456522584586354,0.9953726770034536,1.0003621616799312,0.9903602757449655,1.006138641964808,0.9734903162452831
2021-02-02,0.9874692317445517,0.9931842024330552,0.9501880020577157,0.9901222157006965,0.9998591443654442,0.9983684407276632,1.0106788756471308,0.9891781796286431
2021-02-03,0.988010325256931,0.9951315837915812,0.9543661410027041,0.9883390768690891,0.9866921999406923,0.9970853726441746,1.0107619111634802,0.9868525949875923
2021-02-04,0.994260064974005,0.9931842024330552,0.9488113273399714,0.9865302734680924,0.9766094193588863,1.0028231705289639,1.0129290902135684,0.9913751866695739
2021-02-05,0.9886328244339156,0.985394528247368,0.9499769035352799,0.9892004606014525,0.9609372100576387,1.0095323892696508,1.0168198660955294,0.9977053746621282
2021-02-08,0.9923667603849986,0.9776048540616809,0.9472291566675042,1.0095918162958009,0.9560635871795562,1.005931805120826,1.0248925305778083,1.0012571824429586
2021-02-09,0.9945710856177458,0.9785785075530476,0.9460471360663553,1.0133790027144658,0.9627966771515581,1.0057161979403413,1.0213213428683563,1.0000312982156487
2021-02-10,0.992795254748682,0.9824734190216832,0.9441888846773216,1.0366688413472465,0.9651242437320506,0.9981691961869538,1.0201860816458201,0.9954655033265201
2021-02-11,1.0002670580080468,0.973710016968837,0.9471301500989837,1.0315697599383526,0.9654204660818035,1.004431330440493,1.018722381185798,0.9987728700914154
2021-02-12,1.0100165169586623,0.9834470725130502,0.950081011476093,1.046194652340857,0.972988384126305,1.0055799920373123,1.0256406997901137,1.004386898677789
2021-02-15,1.028797723183461,0.9863682561145268,0.9786793291862885,1.0817266138303017,0.9863806482680214,1.0305049340254584,1.0599294049628907,1.021699182791697
2021-02-16,1.0256643434406667,0.9834470725130502,0.975001607292202,1.0912147162454666,0.9656528054619413,1.024913925620115,1.0578329666937858,1.0252338924325017
2021-02-17,1.0142015309155146,0.9673807858323042,0.9544601130905401,1.0730465210094435,0.9720912124972884,1.019140080416015,1.0557759184599091,1.0145256418870578
2021-02-18,1.000202884391429,0.9479066747438776,0.9476447655379475,1.066647052030322,0.9543956125976545,1.0105813984720233,1.0454116216701217,0.9995383366317416
2021-02-19,1.0019380113212937,0.9362221634653464,0.9479674227221841,1.094033301182556,0.9450950557551032,1.0133564191920885,1.0549782216054155,1.0060879230330744
2021-02-22,0.9904298826533335,0.9113924003559626,0.9495602029369304,1.0853266052294452,0.9268979793707637,1.0044675185998588,1.0627524937131627,1.0088048254581417
2021-02-23,0.9882133316504997,0.9089581550638572,0.9460136716312735,1.0878119762875085,0.9343759804675742,1.0062673406814995,1.0677775427096283,1.0130081525793135
