Date,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,0.9963971127954747,1.0069801892610661,1.005362035887761,1.0048069943606717,0.9899685714984582,1.0006021413823492,1.0030185958435853,0.9983657400268156,1.0068766516462582
2021-01-06,0.9991993638376184,1.0371111176078167,1.0289029231789522,1.0325400953253252,1.020303689710223,1.014227342863523,1.0254251808756178,1.0313648607232564,1.0443095110011122
2021-01-07,0.9993994127460768,1.0301202575397184,1.025272495780175,1.034151956158039,1.0155631094640047,1.0251695296742307,1.023192463723805,1.034875701358878,1.0467451043857976
2021-01-08,0.9521090767258181,1.0353424080476772,1.0302619190820026,1.028838913879288,1.021948430188494,1.0222102741274248,1.0297885965262086,1.0378302751381487,1.0408084437166516
2021-01-11,0.9377691498845335,1.0234285330404198,1.021814358377697,1.0158019822168782,1.0137312545851989,1.014053177403052,1.0084922100434608,1.027470654536484,1.025104366358772
2021-01-12,0.9181534904847606,1.0177852104375804,1.0189827154039746,1.0148827253748003,0.9974360376471776,1.0050642001852776,0.9991127142242049,1.0143464995050029,1.0209546841182435
2021-01-13,0.9159517288013072,1.0106622787804402,1.0167198911665543,1.0154099011143884,1.0097108197164224,1.0101720158807548,0.9966545831067564,1.0150076762578275,1.0184008486669551
2021-01-14,0.89234351416085,1.0197116201593548,1.0208686482398237,1.0189540250379872,1.004527087798596,1.0128660447398785,1.0115400931665792,1.021855734964896,1.0290492698540588
2021-01-15,0.8793330908638207,1.0164524685707972,1.0108007956557643,1.0120464701549303,1.0076892355804428,1.0064889299405384,1.0001257503978136,1.0072473490412412,1.008541366002702
2021-01-18,0.8585002288198023,1.0086177152050357,1.00608656557486,1.006842056522824,1.0020084602615498,1.0087870185173178,1.0079925314501261,1.0073038684093596,1.008836594352793
2021-01-19,0.8517398277185674,1.010292741116011,1.0029520525725848,1.0039418136633165,1.004889449546321,1.0033966765670574,0.99997382454759,0.9964779724201492,0.9992028193760709
2021-01-20,0.8573442319076219,1.0262991724490071,1.0103393164968406,1.013041875814261,1.0024988275117472,1.0149631151950411,1.0126445139944833,1.0072038074545586,1.0096260034958655
2021-01-21,0.8490138576294102,1.0210209251862612,1.0119213203837079,1.0179687742106753,0.9941892861935451,1.0038231625300467,1.0074429017858302,1.0091277137533758,1.0092295379031766
2021-01-22,0.8489869670118788,1.0108004572083895,1.0044189908819634,1.0053456918291812,1.0053713548841918,0.9962717008652275,1.0069488858229607,1.0062406497276224,1.000152798991813
2021-01-25,0.8553808345166182,0.9973769647231293,0.9923316783678644,0.9869521951595007,1.017585027720394,1.001453405916404,0.9953672497460244,0.9990785790736981,0.9812692365195137
2021-01-26,0.83433524171148,1.0097753819573676,0.9954951897994767,0.98570896428362,1.0122026417668488,0.9991729345167801,0.9986284799081153,1.0010200843819208,0.9857526060020109
2021-01-27,0.7520429655665999,1.0201981782030156,0.9873739837993704,0.9636838917092745,1.0030290838213856,0.9980789420758039,0.9936545463421737,0.9830843033521734,0.9669424473699895
2021-01-28,0.7890870271306651,1.0058793056694277,0.9849099867989607,0.9685408292026487,0.9963503344555725,0.9855886585222051,0.9954239652573326,0.9795003783982498,0.9757431935173982
2021-01-29,0.8192800757681312,0.9926374436479869,0.9662044634658881,0.9478485447527336,0.9832293515575744,0.9671939367326072,0.9792398856322426,0.9597816453235019,0.9605032773374108
2021-02-01,0.8523645019823889,0.9959862993718068,0.974456858408892,0.9671547984787657,1.0003621616799312,0.9766842546570922,0.9969224328988788,0.9763550380807587,0.9748321016968489
2021-02-02,0.8315478149176189,1.006856317919612,0.9910719152894857,0.9838520805281024,0.9998591443654442,0.9817043939350579,1.0014679529822332,0.9894996978926678,0.9881240062624701
2021-02-03,0.8355510446771431,1.0023076673185325,0.9889322226317713,0.9839783760830431,0.9866921999406923,0.9770413139834124,1.0011150891008707,0.9891816903549655,0.9889473782340399
2021-02-04,0.8219401809690401,1.0032431844134193,0.9901425881887967,0.9892992424049394,0.9766094193588863,0.9709359424012385,1.0049322155578782,0.9956665529950466,0.9945699416728286
2021-02-05,0.8339497234047636,1.0180136485539044,0.9861638192468692,0.9985744269606189,0.9609372100576387,0.9654913113564078,1.0138862264384907,0.9903502490231468,0.9981104893614686
2021-02-08,0.8317480106689266,1.0183160854706004,0.9842190189982291,0.9979480819592498,0.9560635871795562,0.9603051436517906,1.0128536365452132,0.9955215867436995,1.007320991895596
2021-02-09,0.8333493319413062,1.023814556933253,0.9775596400722759,0.9993477086650677,0.9627966771515581,0.9635123041932948,1.0123372643157893,0.9971087590350248,1.0034314351209397
2021-02-10,0.833046929852519,1.016182810815592,0.9692651477611558,0.9942533779823821,0.9651242437320506,0.9658579848085226,1.0110012853224886,0.9971636942878811,1.001777386510357
2021-02-11,0.8186367549883706,1.0142512629011042,0.9737304555523227,0.9996571235174644,0.9654204660818035,0.9726394661315312,1.0153241035469256,1.0036731102748506,1.0049145958145629
2021-02-12,0.8123295816817218,1.026648911332608,0.9815696283245866,1.0040437472175887,0.972988384126305,0.978104298069746,1.015389441003275,1.0143968022284537,1.0078924571535075
2021-02-15,0.8137306827289853,1.0473581093842146,1.0102751455604648,1.0431777688977855,0.9863806482680214,0.9944757856963427,1.0411306159985858,1.0359886971710957,1.0226021131875795
2021-02-16,0.8103787885423684,1.0447927328211992,1.0078569452636408,1.0407849545327306,0.9656528054619413,0.995935298018741,1.035862184858678,1.0348898643985065,1.0291528987145133
2021-02-17,0.794696713436503,1.0316591058974252,0.9954802745189638,1.0312251351910848,0.9720912124972884,0.9857126584171123,1.0310182990118102,1.0215591879243269,1.0199983353254725
2021-02-18,0.7902131362428815,1.0182342573643384,0.9805688862938762,1.0304209598527718,0.9543956125976545,0.9791978758876413,1.0228167361556375,1.0080671266032069,1.0023048323172623
2021-02-19,0.782512039242911,1.0101600728602136,0.9854744035571952,1.0405815675686094,0.9450950557551032,0.9754652129952301,1.027961973655215,1.0128994044139132,1.01575466591072
2021-02-22,0.7906704280474735,1.0142298241936056,0.982099060978231,1.0457410910335632,0.9268979793707637,0.9650547435583949,1.0173274291364316,1.0037111734028383,1.0209987555871658
2021-02-23,0.785786532772661,1.0243434447497022,0.9821939763591239,1.046494802925077,0.9343759804675742,0.9695761108846014,1.0183500108732466,1.0031335387141957,1.0232648701721756
2021-02-24,0.7735365429129828,1.0331559375014125,0.9895487027228974,1.0488571276022987,0.9285160166375903,0.9695858094365547,1.0270298239792148,1.0073158683421926,1.034433716679709
2021-02-25,0.7643994371191465,1.0305134613146738,0.9851837667214528,1.0276392639773524,0.9259536326408867,0.9690058275527296,1.0231054077328976,1.0036819451290633,1.0307363242825205
2021-02-26,0.7419829890332537,1.0156339685662672,0.9576410669940955,0.9910028502719914,0.9042054605773107,0.9524944471236402,0.9925526966792428,0.9788612415104498,1.0096768680365291
2021-03-01,0.724736165670026,1.0316832587216656,0.9757073329589442,1.0151738322171504,0.9178449635176312,0.9593284048904421,1.0173466973050214,0.9979518750912608,1.0263259761021861
