Ticker,Cluster,Cluster Name,Sector,Initial Normalised Value,Final Normalised Value,Total Return,Annualised Return,Annualised Volatility,Maximum Drawdown
MRO.L,1,Stable or Modest Growth,Industrials,1.0,1.4239497642039525,0.4239497642039525,0.07342212355071487,0.39257493038587904,-0.5388806982864105
NG.L,1,Stable or Modest Growth,Utilities,1.0,1.2964636948462496,0.29646369484624957,0.05342756157147743,0.19571707212990563,-0.32623428999072857
NXT.L,1,Stable or Modest Growth,Retail,1.0,1.981857832406906,0.981857832406906,0.14697272320532284,0.2654573334826406,-0.47961273672286786
PCT.L,1,Stable or Modest Growth,Investment Trust,1.0,1.9914163090128756,0.9914163090128756,0.14807953909791016,0.24989445851170414,-0.3789090798117898
PRU.L,1,Stable or Modest Growth,Insurance,1.0,0.8532106167305658,-0.14678938326943425,-0.03132278047512416,0.3240690094785629,-0.6166643597472979
PSH.L,1,Stable or Modest Growth,Investment Trust,1.0,1.8615533255191496,0.8615533255191496,0.13266374266996217,0.24249625764628563,-0.28546258857000983
PSN.L,1,Stable or Modest Growth,Housebuilding,1.0,0.5011163893561031,-0.49888361064389686,-0.12934171578007858,0.3317855522424829,-0.7027853771435034
RIO.L,1,Stable or Modest Growth,Mining,1.0,1.0460851753319211,0.046085175331921135,0.009072888740139451,0.27111319941178774,-0.3795788451536125
RKT.L,1,Stable or Modest Growth,Consumer Goods,1.0,0.8862633296875121,-0.11373667031248791,-0.023913979156992338,0.22180872300869073,-0.39838431904404337
RMV.L,1,Stable or Modest Growth,Technology and Media,1.0,0.7982417065495897,-0.2017582934504103,-0.04416874677340876,0.30370426246916904,-0.44344780103738346
RTO.L,1,Stable or Modest Growth,Consumer Services,1.0,0.8469709846448831,-0.15302901535511693,-0.03274706605815847,0.31151295427469305,-0.5274332898686205
SBRY.L,1,Stable or Modest Growth,Retail,1.0,1.4420458378875958,0.44204583788759577,0.0761429875377504,0.2432871305519045,-0.49986993592836804
SDR.L,1,Stable or Modest Growth,Financial Services,1.0,0.7026969039556503,-0.2973030960443497,-0.06828707071323281,0.2656662429886803,-0.5597205852373615
SGRO.L,1,Stable or Modest Growth,Property,1.0,0.7384894303232874,-0.2615105696767126,-0.05896140261046001,0.26176940197238874,-0.5825316248187149
SMIN.L,1,Stable or Modest Growth,Industrials,1.0,1.5242381705507777,0.5242381705507777,0.08816803542970475,0.21882430332161498,-0.20268246547233115
SMT.L,1,Stable or Modest Growth,Investment Trust,1.0,0.9723475388080532,-0.027652461191946753,-0.005605708847957969,0.30843867794986746,-0.6033465145420857
SN.L,1,Stable or Modest Growth,Healthcare,1.0,0.7913743114104401,-0.20862568858955988,-0.045822914392030456,0.25274076097854997,-0.46246177072597583
SPX.L,1,Stable or Modest Growth,Industrials,1.0,0.5841354040885615,-0.41586459591143854,-0.10217068860194412,0.27602456271310766,-0.6820833673215022
SSE.L,1,Stable or Modest Growth,Utilities,1.0,1.4214858010158984,0.4214858010158984,0.07304951521159775,0.23421854961906052,-0.27287958459565065
STJ.L,1,Stable or Modest Growth,Financial Services,1.0,1.213515140568214,0.21351514056821408,0.03955685996084091,0.35971532520424193,-0.767613645229374
SVT.L,1,Stable or Modest Growth,Utilities,1.0,1.196396157443257,0.1963961574432569,0.03660030473238596,0.214455074825773,-0.3106616369932388
TSCO.L,1,Stable or Modest Growth,Retail,1.0,1.4777540989581808,0.4777540989581808,0.08143284915643134,0.2150156970245929,-0.3611746898796794
ULVR.L,1,Stable or Modest Growth,Consumer Goods,1.0,1.020484014528825,0.02048401452882498,0.004073140187971225,0.18110953851948383,-0.2546211877582206
UU.L,1,Stable or Modest Growth,Utilities,1.0,1.3121130316953311,0.3121130316953311,0.05596442137656332,0.21578608713926067,-0.29584690433517224
VOD.L,1,Stable or Modest Growth,Telecommunications,1.0,0.8025863855050425,-0.19741361449495753,-0.043128099758550476,0.2510641864273753,-0.5568292318592203
WEIR.L,1,Stable or Modest Growth,Industrials,1.0,1.3806351216915638,0.38063512169156377,0.06679539688190439,0.2835934839939302,-0.3693903566640995
WTB.L,1,Stable or Modest Growth,Travel and Leisure,1.0,0.8458877016723191,-0.15411229832768092,-0.032995195022296975,0.2867603575046773,-0.3646659988035873
BGEO.L,2,Exceptional Growth,Banking,1.0,7.644737277873487,6.644737277873487,0.5034348723827713,0.3634242606979193,-0.40945437301538246
RR.L,2,Exceptional Growth,Aerospace and Defence,1.0,11.14479506454873,10.14479506454873,0.621447523621218,0.4208268550292481,-0.5508542707015784
AAF.L,3,Strong Sustained Growth,Telecommunications,1.0,4.782994886046183,3.7829948860461826,0.3685386813240894,0.3432374512481026,-0.46894799033025314
AV.L,3,Strong Sustained Growth,Insurance,1.0,2.132939216640742,1.1329392166407422,0.16398979030910388,0.22510906391028984,-0.21014590434249192
AZN.L,3,Strong Sustained Growth,Healthcare,1.0,1.860106455260618,0.8601064552606179,0.13248720721463436,0.23478742687535525,-0.27173943835821557
BA.L,3,Strong Sustained Growth,Aerospace and Defence,1.0,3.4754061432023513,2.4754061432023513,0.2836703290525415,0.246269180076252,-0.218632919566902
BAB.L,3,Strong Sustained Growth,Aerospace and Defence,1.0,4.696869624138565,3.6968696241385652,0.3635627021114136,0.37389401654658566,-0.2935297412598187
BARC.L,3,Strong Sustained Growth,Banking,1.0,3.3219123775862083,2.3219123775862083,0.2720988872864851,0.3105357617472476,-0.40438888863857547
BEZ.L,3,Strong Sustained Growth,Insurance,1.0,2.2879021131807953,1.2879021131807953,0.18047059305676183,0.30088773517343675,-0.2682047039203721
BP.L,3,Strong Sustained Growth,Energy,1.0,1.7048069891991195,0.7048069891991195,0.11286664182344275,0.2866950374492415,-0.41501669468322977
CCEP.L,3,Strong Sustained Growth,Consumer Goods,1.0,1.7399700633527135,0.7399700633527135,0.11743063305317958,0.28729672126588646,-0.24780407790615133
CNA.L,3,Strong Sustained Growth,Utilities,1.0,3.651509613804437,2.651509613804437,0.29645335070972667,0.2774400058919293,-0.33363986895491504
CPG.L,3,Strong Sustained Growth,Consumer Services,1.0,1.8498290663008323,0.8498290663008323,0.1312300733198819,0.22624219989668604,-0.1788202225400899
DPLM.L,3,Strong Sustained Growth,Industrials,1.0,2.3868002890222715,1.3868002890222715,0.19052761952025143,0.287948500634484,-0.376198252892186
GLEN.L,3,Strong Sustained Growth,Mining,1.0,1.6608923940149627,0.6608923940149627,0.1070598312474953,0.32954338565673036,-0.6015951886854802
HSBA.L,3,Strong Sustained Growth,Banking,1.0,3.095283619729766,2.095283619729766,0.2542063972124511,0.24711495164778186,-0.24306645818311445
IAG.L,3,Strong Sustained Growth,Airlines,1.0,2.76604379741718,1.76604379741718,0.22624696841567848,0.39606804317757544,-0.5700711468755233
IHG.L,3,Strong Sustained Growth,Travel and Leisure,1.0,2.3657139472218587,1.3657139472218587,0.18841166776490348,0.24852668440287365,-0.31242451838953456
III.L,3,Strong Sustained Growth,Investment Trust,1.0,2.7892096677569578,1.7892096677569578,0.22829888716807512,0.27325224129624726,-0.3273520221375553
IMB.L,3,Strong Sustained Growth,Consumer Goods,1.0,2.018949705120635,1.0189497051206349,0.15124417894591513,0.20018562390514574,-0.2763758934620445
IMI.L,3,Strong Sustained Growth,Industrials,1.0,2.0630452849861567,1.0630452849861567,0.15624129727920044,0.25848331977555994,-0.4171931393395274
INF.L,3,Strong Sustained Growth,Technology and Media,1.0,1.635154039879082,0.635154039879082,0.10359916647640377,0.25639277348083295,-0.2897715075497015
LLOY.L,3,Strong Sustained Growth,Banking,1.0,2.8265931554176675,1.8265931554176675,0.23158157796909995,0.26919655572821277,-0.290615992699913
MKS.L,3,Strong Sustained Growth,Retail,1.0,2.512004761689586,1.5120047616895862,0.20279249426574064,0.3353309125710182,-0.6372129814706087
NWG.L,3,Strong Sustained Growth,Banking,1.0,3.8234248732096705,2.8234248732096705,0.3084653854660484,0.29389550833559225,-0.43124240151089954
PSON.L,3,Strong Sustained Growth,Technology and Media,1.0,1.54189114603097,0.5418911460309701,0.09068282362036095,0.2814192100375831,-0.34225315533050793
REL.L,3,Strong Sustained Growth,Technology and Media,1.0,1.6447361999186387,0.6447361999186387,0.10489259648091709,0.1848815431500488,-0.2811402684999793
SGE.L,3,Strong Sustained Growth,Technology and Media,1.0,1.8426028678394897,0.8426028678394897,0.130342814429242,0.23716120680802788,-0.302247783595638
SHEL.L,3,Strong Sustained Growth,Energy,1.0,2.108245329802107,1.108245329802107,0.16127571811721086,0.24965628051336078,-0.2218568597192403
STAN.L,3,Strong Sustained Growth,Banking,1.0,3.937687980856425,2.937687980856425,0.31621232181050196,0.3218361847217256,-0.30732279091435866
