Date,Cluster 1,Cluster 2,Cluster 3
2021-01-04,1.0,1.0,1.0
2021-01-05,0.9995911592820238,1.0054026017109592,1.0016181985157655
2021-01-06,1.022233643406261,1.0364023329811602,1.0316235257111395
2021-01-07,1.020008313456282,1.036235669299243,1.0331532928770373
2021-01-08,1.0123785761497694,1.0356879908000096,1.0373021528659592
2021-01-11,1.0016836101092352,1.0228272247753767,1.0217471579769446
2021-01-12,0.9911243241657436,1.0184697919081227,1.011477786373639
2021-01-13,0.994008956120129,1.0156959902065372,1.0108806851708847
2021-01-14,0.9936580490751395,1.0229009706379748,1.0220360724199629
2021-01-15,0.988921206001337,1.0097398893758482,1.0086059666061853
2021-01-18,0.982391150098601,1.0072590186091253,1.0116307677609278
2021-01-19,0.9795044334925167,1.0023971531061757,1.0019611029438293
2021-01-20,0.9835805649342692,1.013548172379594,1.0140618728247457
2021-01-21,0.9816655716762591,1.0122299650860271,1.0123177729385862
2021-01-22,0.9816919995423091,1.0024930681075188,1.009789675847674
2021-01-25,0.9765917863628524,0.9884672641213796,0.9994502523909287
2021-01-26,0.9767377895783206,0.9928490567852696,1.0012537179680308
2021-01-27,0.9561640485592288,0.9838662061907771,0.9871962730996924
2021-01-28,0.9583273828619049,0.9835835924624065,0.987532168220253
2021-01-29,0.9468635792087303,0.9675617497443638,0.9696899925350347
2021-02-01,0.9686736401161312,0.9772509612633318,0.9866669901935162
2021-02-02,0.9755920812693706,0.9904613528464286,0.9952261201642342
2021-02-03,0.9725933504682653,0.9886760039159064,0.9951956471155693
2021-02-04,0.9698687919671195,0.9918772854364465,1.0000977904172432
2021-02-05,0.9665842872832321,0.9964418407378439,1.0027453238700217
2021-02-08,0.9638857463487175,1.0000480761593962,1.0057962018169389
2021-02-09,0.9650275196071634,0.9989080527286139,1.006249140220027
2021-02-10,0.9621353199674844,0.9944096665288916,1.0066639287562078
2021-02-11,0.9629648367073187,0.997231401046138,1.0118730114142613
2021-02-12,0.9674391958234031,1.0035824420797004,1.0175255394054725
2021-02-15,0.9920541613480496,1.0225310261770448,1.0420294582086764
2021-02-16,0.9823600355676038,1.024815136772595,1.0399346832626022
2021-02-17,0.9747993047404835,1.0144745624212932,1.0307531373625143
2021-02-18,0.9679664221389178,0.9989518413933187,1.0200237348184131
2021-02-19,0.9658833622368482,1.0048483853169456,1.0264333746786618
2021-02-22,0.9630821917274335,1.006868935534406,1.0175223463541834
2021-02-23,0.9653191947968026,1.0107554807304404,1.017521566173941
2021-02-24,0.9640569790470048,1.019775018421833,1.023370771711318
2021-02-25,0.9511384416997464,1.0158574443210195,1.0200716791737048
2021-02-26,0.9256661795756318,0.9944615219990192,0.9916520518137936
2021-03-01,0.9403498769068827,1.010707924030959,1.0133452463538324
2021-03-02,0.9397405820218893,1.0125171973346054,1.015809950863914
2021-03-03,0.9466299725830111,1.0221289159248896,1.0275752070927464
2021-03-04,0.9478406316090774,1.0165222291222014,1.0134650194704353
2021-03-05,0.9459816990390051,1.008476751305305,1.0003840382661078
2021-03-08,0.950962171195315,1.0242571227849722,1.01603483585239
2021-03-09,0.9632196744276027,1.0303507956627562,1.0218162385889913
2021-03-10,0.9650418122993112,1.0281624751109155,1.0234461554210916
2021-03-11,0.9657405922008413,1.0304527921295379,1.0300060246738818
2021-03-12,0.9629920755632897,1.033114682596631,1.0336877570062826
2021-03-15,0.9679613791795533,1.0333809144884272,1.030890408022136
2021-03-16,0.9836162761509147,1.0441846700355315,1.047575250098298
2021-03-17,0.9794327053752554,1.0366847474912289,1.035949296972357
2021-03-18,0.9843798517234705,1.0368774600285071,1.040517170344997
2021-03-19,0.9820026402708908,1.0246946843504126,1.0302114107979763
2021-03-22,0.9813484533336708,1.0220805245160138,1.0337312212280514
2021-03-23,0.981090622143945,1.014503086632757,1.0309067652609345
2021-03-24,0.9774073672592903,1.0189876772595539,1.0365387883904664
2021-03-25,0.978588919259445,1.0140123784680082,1.0314313108661417
2021-03-26,0.9840586464902195,1.0242544561863034,1.0399687815378382
2021-03-29,0.9842620763191177,1.0198172526316112,1.0338121468048702
2021-03-30,0.9827168486912031,1.031972496671604,1.0429623493927407
2021-03-31,0.9830637492025225,1.0269434681105731,1.0333133441792388
2021-04-01,0.9931560063684479,1.0361607370086223,1.0471005504215354
2021-04-06,1.000278967473793,1.048333939213618,1.0600465132667602
2021-04-07,1.0083228455845306,1.0584205271746,1.0696989112113497
2021-04-08,1.0235061492982231,1.0635587119016778,1.0785198607457644
2021-04-09,1.0200461046560305,1.0626175461769227,1.0807751806623076
2021-04-12,1.0172767222054315,1.061326190693179,1.0732799504890644
2021-04-13,1.0178692445613229,1.067370354242768,1.079153615420306
2021-04-14,1.008908897680862,1.0719371894478567,1.083037383795211
2021-04-15,1.0240518142863004,1.0739949564920175,1.0888346786562455
2021-04-16,1.024102463629758,1.0808226331211932,1.0955909899262042
2021-04-19,1.0259754782084896,1.0780223746262405,1.093113869514077
2021-04-20,1.0055882171553465,1.0530776201499727,1.0766242479224517
2021-04-21,1.0069340483513125,1.0556965278115948,1.079990212734935
2021-04-22,1.0169989063035334,1.0627832469692697,1.0905924183412203
2021-04-23,1.0147623076718546,1.0612854191201815,1.0920623704384602
2021-04-26,1.016147796683578,1.0741710035137895,1.097435502593076
2021-04-27,1.011327372964338,1.0684585058388918,1.0948295811715323
2021-04-28,1.00982841783336,1.0700158862797167,1.0942182424407985
2021-04-29,1.0042369525618553,1.0709605125741541,1.0931286450590236
2021-04-30,1.0130765395870052,1.0706522346180913,1.0908655919522252
2021-05-04,1.008040322507516,1.0579819279033156,1.083141684771829
2021-05-05,1.0136299396962904,1.0715067662834898,1.0989826019486604
2021-05-06,1.025830356469963,1.0741459496725503,1.1031235702467606
2021-05-07,1.0351149036091405,1.085812087186771,1.1120706206245674
2021-05-10,1.0298793461634903,1.0831309618091924,1.1094904180401324
2021-05-11,1.003955608069675,1.0517054931758425,1.079848747187499
2021-05-12,1.0074665323684535,1.0559591721499761,1.0819038877293676
2021-05-13,1.005908865063534,1.055036044939373,1.0734385298660725
