Ticker,Cluster,k
AAL.L,1,2
ABDN.L,1,2
ABF.L,1,2
ADM.L,1,2
ALW.L,1,2
ANTO.L,1,2
AUTO.L,1,2
AV.L,1,2
AZN.L,1,2
BARC.L,1,2
BATS.L,1,2
BBOX.L,1,2
BEZ.L,1,2
BKG.L,1,2
BLND.L,1,2
BNZL.L,1,2
BP.L,1,2
BRBY.L,1,2
BT-A.L,1,2
BTRW.L,1,2
CCEP.L,1,2
CCH.L,1,2
CPG.L,1,2
CRDA.L,1,2
CTEC.L,1,2
DCC.L,1,2
DGE.L,1,2
DPLM.L,1,2
EDV.L,1,2
ENT.L,1,2
EXPN.L,1,2
FCIT.L,1,2
FRES.L,1,2
GAW.L,1,2
GLEN.L,1,2
GSK.L,1,2
HLMA.L,1,2
HSBA.L,1,2
HSX.L,1,2
HWDN.L,1,2
IAG.L,1,2
ICG.L,1,2
IGG.L,1,2
IHG.L,1,2
IMB.L,1,2
IMI.L,1,2
INF.L,1,2
ITRK.L,1,2
JD.L,1,2
KGF.L,1,2
LAND.L,1,2
LGEN.L,1,2
LLOY.L,1,2
LMP.L,1,2
LSEG.L,1,2
MNDI.L,1,2
MNG.L,1,2
MRO.L,1,2
NG.L,1,2
NXT.L,1,2
PCT.L,1,2
PRU.L,1,2
PSH.L,1,2
PSN.L,1,2
PSON.L,1,2
REL.L,1,2
RIO.L,1,2
RKT.L,1,2
RMV.L,1,2
RTO.L,1,2
SBRY.L,1,2
SDR.L,1,2
SGE.L,1,2
SGRO.L,1,2
SHEL.L,1,2
SMIN.L,1,2
SMT.L,1,2
SN.L,1,2
SPX.L,1,2
SSE.L,1,2
STJ.L,1,2
SVT.L,1,2
TSCO.L,1,2
ULVR.L,1,2
UU.L,1,2
VOD.L,1,2
WEIR.L,1,2
WTB.L,1,2
AAF.L,2,2
BA.L,2,2
BAB.L,2,2
BGEO.L,2,2
CNA.L,2,2
III.L,2,2
MKS.L,2,2
NWG.L,2,2
RR.L,2,2
STAN.L,2,2
