Date,AUTO.L,AZN.L,SHEL.L,TSCO.L,BARC.L,CCH.L,GSK.L,HSBA.L,REL.L,SMIN.L,SN.L,SBRY.L,NG.L,WEIR.L,PRU.L,NWG.L,UU.L,RKT.L,ADM.L,SVT.L,CTEC.L,AAL.L,BP.L,CNA.L,ULVR.L,MKS.L,HLN.L,IMB.L,STAN.L,AV.L,JD.L,GLEN.L,DGE.L,SSE.L,LLOY.L,LGEN.L,BME.L,RR.L,BEZ.L,RIO.L
2021-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-01-05,0.9923989540450524,1.0022904340455512,1.0686534702222308,1.0050634524283673,0.9977703922620587,1.0037766675312207,0.9995638349607999,0.9953990394453379,0.9885745663015667,0.9980585443037975,1.0035099790577673,0.9982299924811083,0.9843643361171626,0.9888511929304108,0.9967487238538622,0.9826827856792809,0.9868422456246095,0.9887972731697151,1.0100033674330178,0.9914384279139304,1.0077898967336831,1.005831937419384,1.070727119029138,1.0281840545301473,0.9943959602179221,1.0167430447468953,1.0,1.0090293951504257,1.0058265042973231,1.0048990867483456,1.0174362209529464,1.0354522399685486,0.9991521011022603,0.9876343634765467,1.0107649615301053,0.9907939603677054,1.0194877804216451,1.0440892744977486,1.003296669814546,1.002607277430582
2021-01-06,1.0076005413647409,1.0121261527756131,1.1316236218553652,1.0345992032469642,1.080267369728567,1.0142677071832533,1.023546731640542,1.094123795342062,1.0342765005756005,1.0255666139240507,1.0366942710960132,1.0287610136999328,0.9997734745570741,1.021328018759882,1.0473265778241179,1.053526700356837,1.0223684776386004,0.9929246555499139,1.0066688571592426,1.0184075371165573,1.0136319659989605,1.0717339902707137,1.1387033518823915,1.0925127210332422,1.0013450146720948,1.0616439700772786,1.0,1.0290227227513868,1.1001295137925162,1.0642988841587537,1.0496071801639126,1.1163407585610026,0.9994913270136127,1.037422689886285,1.0667429590975155,1.0502492214841452,1.0126095611604295,1.0760660305057062,1.0307692540130424,1.062923539807862
2021-01-07,0.9639787179997721,1.0071409741998796,1.1322379102657936,1.037974668035734,1.087792628692931,1.0071338535916265,1.01598836233978,1.0964901646267238,1.015778093858008,1.0197412974683544,1.0220166094646097,1.099557454098663,0.99682746506242,1.0193890648924153,1.0404623377843194,1.0544711975370007,1.0142544910888716,0.9829009334728405,0.99266419176951,1.0094177292946764,1.0116845847852727,1.0960342006715984,1.159135431650816,1.0694921003299753,0.9968618033575217,1.075723200772613,1.0,1.0564333837781033,1.1053086140625548,1.0713409942874912,1.031679635714036,1.1350856440042838,1.013908013544486,1.041327912739611,1.0589922219266599,1.0548522413002925,1.0152847495174402,1.0765504898385172,1.0269229713574322,1.0968188283140032
2021-01-08,0.9831458797535298,1.0066019594237738,1.127476822801514,1.0367087538795996,1.0654961252670379,1.0201426031724787,1.023546731640542,1.0825555049480755,1.0266594117897778,1.0249192246835443,1.0335035157909271,1.0743361168087122,0.997054129180242,1.0174501110249485,1.0332370470916719,1.039672463277837,1.0258772031932368,0.9817216516815622,0.9883293365830178,1.0141268558278609,1.0107108569905354,1.0975893969807706,1.173674120898673,1.0791736928227293,0.9975343619712921,1.049467463704488,1.0,1.0564333837781033,1.0971083609726406,1.0673607539088317,1.0446955382709893,1.1265281637745432,1.0305293367378676,1.0491375621120758,1.0571264460312109,1.0625239409938714,1.0405042231741601,1.039728770799051,1.0071427845981828,1.0968188283140032
2021-01-11,0.9768670619760903,1.0180545248719453,1.1230228325713207,1.0312239426543643,1.053511757338411,0.9861518769255528,1.013808331776442,1.0732222083226068,1.0163220766378047,1.0074433544303798,1.0063815106101721,1.0464599375543244,0.9943349224783062,1.004847384668667,1.0263727160383487,1.0195218469594005,1.0210526216918514,0.966391403952045,0.9919973223924166,1.001712104908537,0.9961054606999833,1.0725115884252998,1.1740671819345347,1.0783130520438697,0.9899128514587948,1.0220702082042732,1.0,1.0390195446281298,1.0936556714420274,1.0584809510407218,1.0844795283594302,1.102485772757385,1.0028835861271366,1.0377481516685352,1.0381798458657228,1.0563864636650666,1.050439298649301,1.024709422371714,0.9950549113421944,1.0766555589442623
2021-01-12,0.9633178057471008,0.9977095000843795,1.144831996957774,1.016877630238104,1.0746932971279035,0.9836339617207506,0.9934593785548775,1.0853161617805762,0.9931991181108897,0.9825244462025317,0.9783025362764016,1.0407078702654586,0.9698617154736431,0.9927289822197812,1.0317918433315028,1.0277082055296782,1.0100877369243484,0.937205166566021,0.9873290733644544,0.992294689876876,0.9912367473505114,1.0629860354016254,1.1984286696723592,1.0886400840361408,0.968616905465313,1.0232117266363632,1.0,1.0248306983469413,1.1035822692972483,1.0603183583354314,1.053536362483726,1.126324423151568,0.9918590757694664,1.0214774515585932,1.0548298784550476,1.0560029374673585,1.0401222039813849,1.0440892744977486,0.9945054663731033,1.0651832143431286
2021-01-13,0.9699273319459794,1.0144165868211645,1.1346951578497633,1.021518907084923,1.0615942850977356,0.9760806266583092,0.9975291338821831,1.059944989722603,0.9874864677551065,0.983495253164557,1.0038289687754391,1.0632741624142916,0.9907091979799783,0.9849732259726957,1.0220373777984155,1.0081864481130518,1.0282894603984254,0.9298349843532363,0.9829943815662697,1.0059929957059102,0.9892892917610372,1.0596812676146403,1.1941060804281756,1.066480104111733,0.9755659599194858,1.0125572835601715,1.0,1.0364401352152735,1.076823628551461,1.077464733787647,1.0510804946820769,1.1297878890538793,0.9942333253876506,1.0260330405424882,1.0404766330095114,1.0548522413002925,1.051203571258759,1.0232558225512418,0.9631867673909699,1.041891007484117
2021-01-14,0.9547258455443323,1.018458637746369,1.154815146535358,1.0185656178777014,1.0650779606475778,0.9794376074427323,1.0126456076061532,1.0732222083226068,0.9948313324240134,0.9883496835443037,1.0130823229846952,1.0725661092898202,0.9884433195136866,0.9747939550596213,1.0346819778112668,1.014169069472388,1.0245614814285045,0.9324881779199414,0.9839947264789869,1.001712104908537,0.981499618154713,1.0937013087278156,1.215128052347698,1.1015491205342447,0.9760145374395577,1.050989410839651,1.0,1.058368316268869,1.0750972178120357,1.073178020989317,1.0454322892404464,1.161369057185903,0.9923678316961744,0.9952729602656316,1.0465048621603852,1.0740312553863562,0.9911896677276228,1.0334303558284297,0.9609889875146059,1.0658787610880465
2021-01-15,0.9352278744510941,1.0229048674160661,1.1388423326726373,1.0194092543542026,1.036789539536421,0.9672681287174839,1.027325474828333,1.0602076602551875,0.9931991181108897,0.9676376582278481,1.0063815106101721,1.053097177916537,0.9918423105567443,0.9636451479900321,1.0335981887580459,0.9984259275758345,1.0271929920489773,0.9248230886849411,0.9746583101172164,1.002996497852955,0.9698151821210129,1.0355753349023717,1.188408919828234,1.0890703222563152,0.9849813702904873,1.0624051759677322,1.0,1.0541759757118985,1.0567545655244721,1.067054281489161,1.0189097228918609,1.140586765512872,0.9847354145713868,0.9890890271360431,1.0315773375910424,1.0471806591806554,0.9636669532786546,1.0261628743108264,0.959890097576424,1.033547600372254
