Ticker,AAF.L,AAL.L,ABDN.L,ABF.L,ADM.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BBOX.L,BEZ.L,BGEO.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,BTRW.L,CCEP.L,CCH.L,CNA.L,CPG.L,CRDA.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IGG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
AAF.L,0.0,29.131847360765693,42.771821319022116,33.50812247356208,31.413141267338116,25.365870840702748,16.08404203448597,27.418757007527095,16.175141974619407,18.68584987899268,7.009177700254205,5.2816993425699525,8.004309371508963,22.676415976359447,34.37032902101867,13.288316746451923,21.955224850728598,36.938657811747014,37.9381166252167,31.8151982526193,19.18199872221754,38.56717788811256,24.684601492521875,41.18159711000993,19.882369130104625,22.289573945284197,6.75491561274039,18.054955721755015,41.22055790626242,28.257059447661835,34.92767391680313,37.22214521566474,13.10618872495149,33.07472629475103,39.84949470021251,27.798340078700825,23.031679989937274,17.055523462994817,21.949222510981418,21.312641769231092,27.828300137040483,25.528191698701228,8.563048106875987,25.507316573058247,28.490270076302387,10.418230989600438,28.06925181522483,24.6635619677656,13.616160418304583,10.09373715636411,16.69150727143671,17.155718552548805,20.24437825940805,39.5678175224772,40.25510144938799,31.622738241152422,35.06132978442735,34.97954045542486,10.166667609693924,37.540486953948836,31.69661709647236,11.81838243026446,41.99733869935306,25.03312800502567,24.33671883422111,27.228815756724,4.544388393028613,17.181025760896297,17.655418318402948,40.25874213533011,18.206794687033312,45.70437777792753,22.23135794777268,19.739758382364137,34.61511636410612,39.09027522316591,31.70872597947505,72.49690913007782,36.92461917135628,23.78954051053631,41.540099840184176,18.43316746163791,37.20408738483526,15.40421165693253,22.385887015355337,37.51574991679387,39.47135414396081,39.22421338250167,24.62327680748081,4.826189126353674,31.13229681923559,29.212397011214573,23.57562016298691,33.74955145528527,27.188252597582515,41.00626710692541,25.842620225694333,33.5221535874925
AAL.L,29.131847360765693,0.0,6.614867343085013,4.409046714121611,3.1728548267189374,5.571843024636215,6.609767936899674,3.8965939421342597,13.326742938058874,10.732574030129719,44.63115898813477,41.84591930926263,20.528455765354703,3.893265543042685,2.745072423920513,23.62223902521427,83.81448041596886,5.253505925723665,4.234927667027522,3.242600384341509,14.264476573796266,5.97906902590515,3.1741667084671192,6.247694148165053,11.903338084323485,6.142381684442508,50.61264344370437,17.016513271003117,8.342002210672016,3.659002269625327,3.2957640384046076,5.432698919845344,18.892050923149654,7.46343213609648,6.69321556784624,3.252181694500751,6.004307609773968,10.49656830878964,5.820624499211504,8.938630435011884,3.0461148546519734,2.9940412757718646,23.057790306447487,4.53106269460656,2.4264492294003106,18.74058822317923,2.6739169801917284,4.813972199966419,17.37271915191939,41.14121717381775,12.220315663991341,10.100305948063104,8.797065668454657,5.77466157942771,6.515613307126976,2.2114747391760794,3.370580959806262,3.6737007114217346,18.60427785477367,4.1098024980921695,4.081222094197267,31.16975248267317,7.446402317383011,3.327186333389789,5.636493858061197,3.3670019213414237,31.138978182701553,9.392585697298887,8.493586435546232,5.254318238542069,8.838891727854275,9.849368281216229,9.675525381648201,18.007758959108976,3.84328122428082,6.492594520389151,3.691327222708731,136.3258992774451,3.8171253102900944,3.290203112547396,6.013514528249083,18.497751844715946,4.242871361892296,22.86314890029454,6.1165635664972635,3.466264849967087,5.663260079309755,6.104733659894663,3.789371127872539,27.922042507427367,2.99757012385458,3.4225604609161158,6.080043337485205,5.388417302435381,3.268741186576082,5.559996929474094,5.25286986324697,3.7543749121447294
ABDN.L,42.771821319022116,6.614867343085013,0.0,7.319576298558544,6.467770153876617,19.384068143729227,15.782166713575794,12.26915188401167,27.94856673225632,26.200203078116036,59.224241908126835,53.20944762172033,31.633197701177963,12.745404403159332,6.312506621128844,38.11637492132642,96.88159723512555,4.818171995087871,3.0743791727516996,7.770151496019753,30.975758658780673,3.1296439414491024,12.118764852181375,1.5100130775271663,28.325084326015336,14.614409424603656,66.39573029437048,33.04739969868706,4.425750687302789,14.700624869572694,8.1545121085048,2.977199364919606,33.3319472584903,3.2180540118854046,3.240221030057484,13.838655010562615,20.008001329024875,12.504539668158376,11.191384717923732,24.21760147683838,11.301931891623408,10.195410589671683,38.12226924295865,14.038032988648187,12.416036483423154,28.240376178758705,11.246049527868804,9.659380309955147,30.693380196176776,54.16704400195281,25.116713164883016,24.410703890651874,22.52066254480438,3.1789423562772625,3.4682394659800457,7.8865852635707725,5.864405298936465,7.718906263613398,32.55534239379295,4.058039180488563,9.550839663740462,43.93078788414781,2.7614561701101104,11.674157238256686,15.319636492447216,13.983029928105037,43.7804561557936,19.730228905095455,18.483205048646553,1.6115363011717858,22.139917287307107,2.8501395990698306,24.182946097145795,33.02717273732798,4.983839722252797,2.60331693810363,6.834580355130762,147.16141387565014,2.5815129927335727,15.00614024431338,1.195239488774653,33.95616155682524,3.5576568289695185,40.1420566547743,16.442229680853007,2.5975361139238156,2.022201258502332,2.7066873117619465,12.894581895034795,40.712212808634995,6.231170631005565,13.756382680904832,12.328343156910499,8.812099062156822,15.12972443218873,1.4982336528339468,9.815961637243475,6.217798159575083
ABF.L,33.50812247356208,4.409046714121611,7.319576298558544,0.0,2.0203301615918168,7.801442930225609,8.450478785800774,3.334161335591661,17.045552887369755,13.037973376457707,48.97211654051068,45.66389838183557,24.534190960493337,6.315800890712128,4.317540103916275,28.049221790779036,88.39316077041084,2.1277970677373927,2.69220061061228,3.3244978069729862,20.19098558634534,7.571745424095647,6.525132843093493,6.143722532329798,16.195558622544826,8.208018990604216,54.726751777951954,21.464294479904403,9.4260447322689,3.9184078705953618,1.6440546147764645,5.867688006861815,23.689603052279733,2.577700097861706,8.539305295757424,4.095956080943138,8.932640853664541,10.062092968260986,6.141785162787146,19.23719946551243,3.996204574097455,4.221712856514758,27.829529175380184,4.783671180507452,3.7902298695276904,22.21723389313523,3.522858979344599,3.9474145467116672,21.718824817540177,45.85020330810148,15.535406559968399,14.919979326529774,10.912648475397557,3.2928114841126495,6.822698564421578,2.782792991514186,1.5959257007959515,2.2008698379970095,22.356636817751596,3.637466743543131,1.1366968608308368,36.32806207686794,6.722228780268974,4.502480955143453,6.115923596544226,4.9576352161333626,35.550971671333315,12.898396267019683,10.690946580042263,4.33800454435463,11.956659552842066,11.8482891156602,13.45758728629761,21.436075051242135,1.948209655048284,3.4690637746537476,1.8494963324006628,140.6062558756057,3.7724787700288127,5.694196233160903,6.599450292465771,22.947637136150174,5.0062749245149485,26.678523924890396,7.408924952770167,2.501953265438585,3.287146792640371,6.820513353936091,4.269934011588903,31.956052362848613,4.57421143456948,4.5594536012252975,5.8665958560220135,1.83154536412517,5.2498058984118785,5.4268765113868165,3.9057093354939707,1.6189151926059946
ADM.L,31.413141267338116,3.1728548267189374,6.467770153876617,2.0203301615918168,0.0,6.444433826185503,7.498645523249838,3.180990060289722,14.05377438486364,10.903660276844914,45.19269214511008,42.71244128211964,21.84167247353556,4.789772062193894,3.6589111538683343,23.899494723428628,84.6861241351305,3.894209416006633,3.35908666538004,3.9969818788772895,18.90145981131285,6.881382888988541,4.327805630521003,7.013801764772547,12.714475374607552,5.862787515568051,51.3805837329425,17.509516715614886,10.892312025470224,2.9600257255780336,2.3793705846100823,6.741340007159052,20.136277470316358,2.805193056293871,7.8985068391998405,2.4588385645689366,6.948497591209463,9.226637961361734,4.360766238081701,19.061505321773605,3.9319351947090744,2.98177652336427,24.068020149719423,3.4852827242245144,2.1691983521812834,19.7189117425253,2.036651293872192,2.3385357215951297,18.019578037158297,41.841133022893814,12.78431439156397,11.696623884072226,9.038660630899045,3.618825585346894,8.614735846844841,1.8724119116953215,2.3301108054265387,2.206913767961609,19.337626454221454,3.8178000000066574,1.5058646079476212,32.09736818712403,8.37158064191164,3.4891964755953695,5.282463996566713,4.8145603186934744,32.56165515526557,10.023101417291208,9.006511798774907,4.063990791396457,9.70599384695901,11.408918555113162,10.106311206556763,17.985225474304578,2.0096444521254595,3.3847709981670984,1.8465320749719338,137.24231584814862,4.0105365542899145,4.068772799663696,6.685906008698325,19.18496005456564,5.778343219084816,23.61532311914805,5.973632760762082,2.171866110565308,3.3272295776481404,8.336867097827229,3.8766338422789026,28.840391493492984,2.8880807707157845,4.694706552490371,4.322594347941502,1.8643909111585224,4.448857178501518,4.6913459420073025,2.9426838607039483,2.5152068965753065
ALW.L,25.365870840702748,5.571843024636215,19.384068143729227,7.801442930225609,6.444433826185503,0.0,4.888494256601696,2.719319202465835,7.904119214804174,4.256008543197739,38.864549281160045,37.88842014654584,17.04852169577058,2.1827126646207904,10.227021197995109,17.849283077748797,78.69631338117365,10.03189875117408,12.518347711830552,6.144655610193947,11.055726558375136,15.503077470459685,3.7037611366672683,16.564528750277255,6.13897971347366,3.960254088955266,44.49421349331611,10.99033543197415,17.331958619007725,3.0004520387370337,8.30142718355581,11.522164248077779,14.260046024176342,14.164243306509652,17.175956567834568,2.4988464977318965,1.1637060175986411,14.212998459646888,6.053988609566841,12.045610190251123,1.923946876175827,3.1556003892934643,17.931750877137056,1.942735668094881,3.329572342626008,15.685162993730703,5.111023135162621,3.66435795403751,12.403811428715482,36.208234387992995,7.885080135124542,6.396560647587405,3.256406113781978,13.25385895246661,15.720729791444766,5.885828354735063,9.134858699739759,8.471858172019823,13.811104268107728,12.338427300699664,6.089901902097561,26.579551463225123,16.34875642849417,1.2618190783684415,5.57738049759529,2.104625442353709,26.91682199510302,6.192735645715583,5.5434154260600765,15.904855110358325,4.278403531711834,22.33031898458601,5.171311893238482,12.116767335295958,7.905366114172166,12.838393382835966,5.808323586778442,132.03147816764957,11.778702087463532,2.196354710612384,16.66520033156229,12.94345377313236,12.926252626066232,15.948236328772943,1.6475489681151714,12.990570317150615,13.90111785352989,15.002006799822581,1.7212659814703857,23.7067373941524,8.919482723196698,3.289796015894395,3.734880323846819,6.766413132103693,1.383732197566842,17.06225025192287,3.7944234771148633,7.009050052377731
ANTO.L,16.08404203448597,6.609767936899674,15.782166713575794,8.450478785800774,7.498645523249838,4.888494256601696,0.0,6.415160537749661,3.743385000056778,3.8573397423619147,22.38780110424197,26.271100390043287,7.073511921341859,3.6289567776319918,9.962789330537762,4.986935931785589,61.15707819495149,10.823894268678352,11.105694221750213,9.202357846768274,5.354718378028561,14.252160150449564,5.212220119707596,14.716609548237013,3.775885876275321,3.5991180517658545,24.771759335148637,3.541314354736451,16.751256456658812,6.273855931051774,9.299004781791218,13.092145464713052,4.103661497602686,7.923914134266075,15.552781591339711,6.165867249752293,3.9884798710965943,5.587829065333112,3.148358389829417,8.83454454445517,5.513905031049607,4.6542534687194115,6.543094815585558,4.5965643460578605,5.976725658867162,5.516674819771923,6.09796640649063,4.101138355042212,3.811950552060034,20.43953775245387,2.205993034674407,3.393576995317908,2.704974933736689,12.082453221944057,14.952611495016148,7.104139135017827,9.341781807785082,8.858499210604267,4.858337911161909,11.149621904689672,8.293530946158405,11.083958533592137,15.375598874770878,4.315244327617718,4.362460000997838,5.558104356472403,14.226405451086913,2.4828548830733914,1.9761041434793924,12.86741756897641,2.7740031447011164,19.184414262014432,3.7996421782406977,4.088220189809179,8.564617872056516,11.689010279419312,8.643080785576043,116.57468180040946,10.971723069646611,3.925712147962379,14.348416325194492,4.0661087125467406,12.255710129105312,4.181351017834071,3.5071677225804754,10.29111013190961,11.86894980440238,14.41278106971802,4.49333722474523,12.432833399538685,6.957860150071983,6.562429904947604,4.011507576581777,8.56509395904075,5.448473165073876,13.950048158117296,4.804800931861182,8.756503125465166
AUTO.L,27.418757007527095,3.8965939421342597,12.26915188401167,3.334161335591661,3.180990060289722,2.719319202465835,6.415160537749661,0.0,10.111916181603577,6.096418691354,39.58076763614738,39.664247995717545,18.95846321664792,3.411069214189096,3.800888533034441,18.64354056838719,79.65050084222484,5.320657050513664,6.687079700578158,1.9807765076812098,11.169104389948437,9.460026741445443,3.0628772332931784,9.251025126177845,7.217686734794271,3.9492519447999532,44.70386959197857,11.727390843245233,10.494280159008873,1.5943393354044726,4.026525000291031,5.344443724088453,15.78337173885446,9.3495696482864,10.44622125237565,1.4475857199428699,3.664117900114425,11.614953176827575,4.871051835183068,11.628043050355362,2.4488614702651352,2.5278814338257463,19.432823967912416,2.516595676438266,2.1203085556121115,17.28800116720666,2.3924415284154743,2.667769861895091,13.443527321978522,36.74910852910003,9.820602050584988,8.635220356594717,5.193110417247357,8.90229443854335,8.949244670583854,3.385983979535092,3.6275934495970783,4.071737735387341,15.788581115631853,5.7858897577281105,2.167899198355289,27.10429309685158,9.167890625554813,2.4877751940981407,3.916858389654192,2.556762926692974,28.46667255151661,8.102947931166575,7.240164212512442,10.582855488834886,6.454842909027065,15.00548140868487,5.33283498345935,11.83713177782797,5.301386813497118,9.144830864963295,2.3398107628405143,133.24270637607654,5.673407303926675,2.8749324770705074,9.821482222626605,13.272548873321814,5.917526887325325,16.037176602567047,3.7887108694221343,9.071762512560028,9.791339019360155,8.044180290619616,2.926520196563878,25.529235312676448,5.9160077237801865,2.5928796523629596,3.539013290006935,4.658189305841959,2.3142683300598654,10.62302741567186,2.929478249248916,3.0827346449292974
AV.L,16.175141974619407,13.326742938058874,27.94856673225632,17.045552887369755,14.05377438486364,7.904119214804174,3.743385000056778,10.111916181603577,0.0,2.8097937372504713,23.372126023822727,27.223898226187703,7.643397588561258,6.509662782076693,19.75059902151236,4.869466293451342,62.55796372032599,19.727512066647634,21.87367596877533,14.890425167286823,5.395163914880397,25.520655267688944,9.133819780639945,25.556144753129605,3.3215027180631402,6.718804149395099,26.036648818758742,1.7626658225681056,27.53550581660576,10.948112435849596,17.925114541771215,21.901702096676363,3.758168795566764,19.228322330032853,27.06852722800557,10.186782368399653,5.886453072544387,14.483776646457766,7.8908034729170415,8.712675874935455,10.192502640312899,8.873863449276248,6.792889050902248,8.27430394804538,11.606236356594836,7.281063271104359,11.798677915614144,8.30870428479587,2.5587303848895933,21.46563931846611,1.4371387870495589,2.3472124788884834,3.474710121733262,22.70203584779056,25.37541450511524,14.645241566107414,18.395431409901725,17.977075106235755,4.413815641864646,21.565056906774707,14.363232696784088,12.34282242114185,25.861988484721714,7.737547764779579,9.023911104814124,9.711793281066504,15.142465615484324,3.3576645561235723,3.4706627193224127,24.856217481510427,2.500595010432366,31.077750907822672,5.985778691433871,2.7219747567508077,17.0145518057803,22.218647480393493,13.808236281037063,117.9187645650391,21.840057827685648,6.979026089473059,25.969796872986404,2.8376199123596297,22.46541703722269,1.9663006051109622,5.374696507575926,21.381789612725086,22.86145222427646,25.037763604570838,7.45949460637454,13.156581315516933,15.393747649220275,11.952217923359902,7.520065889123748,16.0618917973628,9.414983597759297,25.78027980798472,9.295877874915083,16.073970528121542
AZN.L,18.68584987899268,10.732574030129719,26.200203078116036,13.037973376457707,10.903660276844914,4.256008543197739,3.8573397423619147,6.096418691354,2.8097937372504713,0.0,28.228746919344562,30.565512782786247,10.488798423012645,3.6836003456368607,15.159279170909043,8.636464696909325,67.89451661680533,16.12248698357024,19.585100995187677,9.629754648261844,3.962563635369248,19.706584432827913,6.31554098638001,22.97635836706537,2.0649036357891664,3.176643175312198,32.13545012950779,2.864838368391969,21.995038102124596,6.779201803376764,14.880834464689435,16.089930657360448,6.678291190649383,15.579426185694583,22.00416360307918,6.599392350817112,2.7215800941353234,12.233186782900844,5.7260458621647725,5.638185085540476,7.1489931987272515,4.900171797779,10.149690843299478,4.588953630063212,7.607333591589054,9.677210797192549,7.658826751322327,4.520808778326914,5.169817092042066,26.407413432786154,2.9481724714441797,3.1320684532854615,1.8552629976574349,20.271382903284305,21.011987166332247,12.26628326419036,15.869534311015588,16.069917287587884,7.382303439183006,18.786227532421066,10.196113161227304,17.18205988335039,22.981476535438336,4.424061183123573,5.672140084979725,6.650377879412775,18.715217161191152,3.034019156985628,2.5780303294248044,22.486001367822894,1.44201717571512,28.60586421747479,3.2198336850427416,3.8934111533503044,14.902903266393928,20.09281985171298,10.569894638212226,122.64204079056064,17.31484678734664,4.366662303770823,23.59113569015398,4.721919594254162,17.823796920168995,4.314014253308486,2.8069095046433534,18.808687303575223,20.38175306155511,19.898257300433855,4.398588300880119,16.478470050031383,12.425278578303924,8.96404658326917,3.981935295549542,13.492978909979223,6.166153925096319,23.916809057714033,5.218737188645176,13.253225434859795
