Stock 1,Stock 2,Distance
BME.L,RR.L,149.37170526559294
JD.L,RR.L,148.66256444940217
DGE.L,RR.L,146.71534059014206
PRU.L,RR.L,144.31884666213205
SN.L,RR.L,143.5153124668975
RKT.L,RR.L,143.4863079331418
LGEN.L,RR.L,141.05934224382972
RR.L,RIO.L,140.1421475488431
ULVR.L,RR.L,139.93795073038302
ADM.L,RR.L,137.22928486522068
