,Daily Percentage Returns,Log Returns
Mean,0.000423751608048866,0.0002638126094295461
Standard Deviation,0.017852399380555793,0.01790584769486802
Minimum,-0.42164176874391646,-0.547561825032705
Maximum,0.31983474915679055,0.27750653872861886
Skewness,-0.10565069477497802,-0.5539404031503232
Kurtosis,12.7761865839751,17.3144346234166
