Stock 1,Stock 2,Distance
JD.L,RR.L,149.6081483450119
BME.L,RR.L,149.51172464999647
PRU.L,RR.L,148.9994106466484
RR.L,HIK.L,147.1756453899845
RR.L,SN.L,147.11161944146914
DGE.L,RR.L,146.86045564620878
RKT.L,RR.L,146.26580985147038
RIO.L,RR.L,144.29522624860797
LGEN.L,RR.L,142.885196644023
AAL.L,RR.L,142.69113146083197
