Date,CCH.L,REL.L,RIO.L,UU.L,SBRY.L,HSBA.L,TSCO.L,NG.L,LLOY.L,IMB.L,BP.L,WEIR.L,BEZ.L,SVT.L,SHEL.L,LGEN.L,AUTO.L,BARC.L,MKS.L,CNA.L,ULVR.L,JD.L,AV.L,PRU.L,SMIN.L,AZN.L,GLEN.L,STAN.L,CTEC.L,BME.L,GSK.L,SSE.L,AAL.L,ADM.L,NWG.L,RKT.L,DGE.L,RR.L,SN.L,HIK.L
2021-01-04,2378.657470703125,1835.824951171875,5728.4072265625,909.7367553710938,225.30319213867188,379.1017761230469,298.9045104980469,880.2491455078125,34.747352600097656,1544.4483642578125,253.8078460693359,2061.205322265625,363.5815734863281,2330.601318359375,1299.4188232421875,259.5606994628906,604.7992553710938,143.25938415527344,131.3584747314453,46.42486953735352,4761.14501953125,162.8124237060547,320.7372131347656,1341.232421875,1542.9691162109375,7412.7939453125,244.75099182128903,462.5690002441406,205.15802001953125,521.1693115234375,1382.56689453125,1532.6165771484375,2504.519775390625,2988.471435546875,170.4078369140625,7050.0244140625,2943.56982421875,103.1826400756836,1564.77001953125,2568.840087890625
2021-01-05,2387.640869140625,1814.8499755859375,5743.341796875,897.7665405273438,224.9044647216797,377.3575439453125,300.4179382324219,866.4859619140625,35.12141036987305,1558.393798828125,271.75885009765625,2038.2252197265625,364.7802429199219,2310.647216796875,1388.6279296875,257.17120361328125,600.2023315429688,142.93995666503906,133.55783081054688,47.73331451416016,4734.462890625,165.65122985839844,322.3085021972656,1336.8717041015625,1539.9730224609375,7429.7724609375,253.42800903320312,465.26409912109375,206.7561492919922,531.3258056640625,1381.964111328125,1513.6646728515625,2519.125732421875,3018.365966796875,167.45687866210938,6971.04443359375,2941.07373046875,107.7318878173828,1570.2618408203125,2614.765869140625
2021-01-06,2412.595458984375,1898.7508544921875,6088.8583984375,930.0863037109376,231.78318786621097,414.7843017578125,309.2463684082031,880.0497436523438,37.06650161743164,1589.2728271484375,289.0118408203125,2105.166748046875,374.7687377929687,2373.502197265625,1470.4527587890625,272.60345458984375,609.3961181640625,154.75843811035156,139.4559326171875,50.719757080078125,4767.548828125,170.8890838623047,341.3602600097656,1404.70849609375,1582.4169921875,7502.6826171875,273.22552490234375,508.8857116699219,207.95474243164065,527.7412109375,1415.121826171875,1589.9710693359375,2684.178955078125,3008.401123046875,179.52920532226562,7000.1416015625,2942.072509765625,111.03133392333984,1622.1881103515625,2665.683837890625
2021-01-07,2395.62646484375,1864.7908935546875,6283.02587890625,922.7045288085938,247.73385620117188,415.6813659667969,310.25531005859375,877.456787109375,36.79718399047851,1631.606689453125,294.19769287109375,2101.17041015625,373.3703002929687,2352.551025390625,1471.2513427734375,273.79827880859375,583.0136108398438,155.8364715576172,141.30535888671875,49.65103530883789,4746.20263671875,167.97027587890625,343.618896484375,1395.502197265625,1573.4288330078125,7465.728515625,277.81329345703125,511.2814636230469,207.55520629882812,529.1351928710938,1404.671875,1595.9560546875,2745.0390625,2966.548095703125,179.6901397705078,6929.4755859375,2984.5087890625,111.0813217163086,1599.220703125,2634.734130859375
2021-01-08,2426.570068359375,1884.7669677734375,6283.02587890625,933.2782592773438,242.0514373779297,410.3987731933594,309.876953125,877.6560668945312,36.73234939575195,1631.606689453125,297.8876037597656,2097.173828125,366.1785888671875,2363.525390625,1465.0643310546875,275.78948974609375,594.6058959960938,152.64231872558594,137.8564453125,50.10050201416016,4749.40380859375,170.0894012451172,342.34234619140625,1385.8111572265625,1581.4183349609375,7461.73388671875,275.7189025878906,507.48828125,207.35545349121097,542.2788696289062,1415.121826171875,1607.9254150390625,2748.933837890625,2953.59423828125,177.16836547851562,6921.16162109375,3033.434814453125,107.2819595336914,1617.195068359375,2673.670654296875
2021-01-11,2345.7177734375,1865.7894287109375,6167.521484375,928.88916015625,235.77085876464844,406.8603515625,308.2374572753906,875.2625122070312,36.074005126953125,1604.7120361328125,297.9873352050781,2071.1962890625,361.7836608886719,2334.592041015625,1459.2767333984375,274.19647216796875,590.8085327148438,150.92544555664062,134.25758361816406,50.060550689697266,4713.11669921875,176.56674194335938,339.494384765625,1376.6046142578125,1554.4541015625,7546.6279296875,269.83447265625,505.8910827636719,204.3589630126953,547.4567260742188,1401.65771484375,1590.469970703125,2686.12646484375,2964.55517578125,173.73448181152344,6813.0830078125,2952.0576171875,105.7322235107422,1574.7557373046875,2652.70458984375
2021-01-12,2339.728271484375,1823.3399658203125,6101.8037109375,918.9139404296876,234.4748382568359,411.44525146484375,303.9493713378906,853.7200317382812,36.652549743652344,1582.7979736328125,304.17047119140625,2046.21826171875,361.5838623046875,2312.643310546875,1487.6158447265625,274.09686279296875,582.6138305664062,153.95994567871094,134.40753173828125,50.53997802734375,4611.724609375,171.52880859375,340.0836181640625,1383.8729248046875,1516.004638671875,7395.81591796875,275.6689758300781,510.4828796386719,203.3601531982422,542.0797729492188,1373.5242919921875,1565.5333251953125,2662.26904296875,2950.60400390625,175.1295166015625,6607.31884765625,2919.6064453125,107.7318878173828,1530.818115234375,2557.85791015625
2021-01-13,2321.76123046875,1812.8524169921875,5968.37646484375,935.4727172851562,239.55911254882812,401.8269958496094,305.33660888671875,872.0709838867188,36.15380096435547,1600.7276611328125,303.0735168457031,2030.232177734375,350.1969909667969,2344.569580078125,1474.4443359375,273.79827880859375,586.6112060546875,152.08335876464844,133.0079803466797,49.51120376586914,4644.81103515625,171.12893676757812,345.5830383300781,1370.7901611328125,1517.50244140625,7519.66162109375,276.51678466796875,498.1051025390625,202.9606475830078,547.8549194335938,1379.15087890625,1572.5152587890625,2653.9921875,2937.650146484375,171.80287170410156,6555.35888671875,2926.595458984375,105.58223724365234,1570.761474609375,2564.846923828125
2021-01-14,2329.74658203125,1826.336181640625,6105.7861328125,932.0812377929688,241.6526641845703,406.8603515625,304.4538879394531,870.0763549804688,36.36328125,1634.59521484375,308.408935546875,2009.2503662109375,349.3978576660156,2334.592041015625,1500.58837890625,278.7763671875,577.4174194335938,152.58242797851562,138.05636596679688,51.139278411865234,4646.94482421875,170.2093505859375,344.208251953125,1387.7493896484375,1524.99267578125,7549.6240234375,284.2462463378906,497.3066101074219,201.3625335693359,516.577392578125,1400.05029296875,1525.37158203125,2739.196533203125,2940.639892578125,172.82232666015625,6574.064453125,2921.10400390625,106.63207244873048,1585.240478515625,2588.807861328125
2021-01-15,2300.799560546875,1823.3399658203125,5920.58154296875,934.4751586914062,237.2662353515625,401.9266357421875,304.70611572265625,873.0682983398438,35.8445930480957,1628.1204833984375,301.62750244140625,1986.2705078125,348.99835205078125,2337.585205078125,1479.8330078125,271.8070068359375,565.6251831054688,148.52981567382812,139.55592346191406,50.55995559692383,4689.63671875,165.8911590576172,342.24407958984375,1386.2955322265625,1493.0347900390625,7582.58203125,279.1597595214844,488.82183837890625,198.96534729003903,502.2336730957031,1420.34619140625,1515.8941650390625,2593.618408203125,2912.738037109375,170.13958740234375,6520.02490234375,2898.6376953125,105.88219451904295,1574.7557373046875,2535.8935546875
