Stock 1,Stock 2,Distance
HSBA.L,STAN.L,0.023734295665283733
LLOY.L,NWG.L,0.027728906822699684
LLOY.L,BARC.L,0.03030904990630623
BARC.L,NWG.L,0.031082253079992905
LLOY.L,AV.L,0.03695749092547873
STAN.L,NWG.L,0.04047539342717987
IMB.L,NWG.L,0.041614497542183604
AV.L,NWG.L,0.04822292956943608
AV.L,RR.L,0.050033738500402714
STAN.L,RR.L,0.05175888232623671
