Date,AAF.L,AAL.L,ABDN.L,ABF.L,ADM.L,ALW.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BATS.L,BBOX.L,BEZ.L,BGEO.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,BTRW.L,CCEP.L,CCH.L,CNA.L,CPG.L,CRDA.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,FCIT.L,FRES.L,GAW.L,GLEN.L,GSK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,IAG.L,ICG.L,IGG.L,IHG.L,III.L,IMB.L,IMI.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,PCT.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UU.L,VOD.L,WEIR.L,WTB.L
2021-01-04,74.25672912597656,2504.51904296875,285.70440673828125,2222.5751953125,2988.47119140625,903.9060668945312,1499.5126953125,604.7991943359375,320.7371826171875,7412.79345703125,493.1265563964844,264.64434814453125,143.2593994140625,2742.17578125,167.87710571289062,363.5815734863281,1216.339599609375,4861.06884765625,474.3445739746094,2526.513671875,253.8078460693359,1817.0748291015625,135.48867797851562,648.0367431640625,3936.37255859375,2378.6572265625,46.42486572265625,12.506627082824709,6625.22705078125,205.1580047607422,5331.22216796875,2943.570068359375,2218.214111328125,3247.72998046875,1418.7305908203125,2906.4423828125,198.04637145996097,1246.948486328125,11437.1533203125,244.7509765625,1382.5670166015625,2528.8828125,379.101806640625,992.0757446289062,696.4649658203125,149.76513671875,1718.777587890625,879.4735717773438,59.11745834350586,1169.62158203125,1544.4486083984375,1205.877685546875,540.5225219726562,5861.3310546875,162.8124237060547,275.00335693359375,662.642333984375,259.5606994628906,34.747352600097656,232.9314727783203,9255.21875,131.3584747314453,1920.9268798828125,196.7359619140625,413.1784362792969,880.2491455078125,170.40782165527344,6899.98388671875,233.0,1341.2322998046875,2602.980712890625,2709.97802734375,680.8628540039062,1835.824951171875,5728.40673828125,7050.0234375,650.8358154296875,103.18264770507812,528.2889404296875,225.30320739746097,579.0489501953125,587.621826171875,975.1978149414062,1299.418701171875,1542.9688720703125,1219.7027587890625,1564.769775390625,11673.478515625,1532.616455078125,462.5690002441406,1140.79052734375,2330.6015625,298.9044494628906,4761.14404296875,909.7368774414062,123.1760025024414,2061.205322265625,3013.83154296875
2021-01-05,77.45057678222656,2519.125732421875,286.0032653808594,2198.612060546875,3018.365478515625,906.90234375,1503.5062255859375,600.2022705078125,322.30859375,7429.77294921875,500.0157165527344,266.6439514160156,142.93995666503906,2777.032470703125,169.2736358642578,364.7801818847656,1220.32763671875,4884.88232421875,467.2662658691406,2518.524658203125,271.75885009765625,1792.6075439453125,135.08956909179688,656.0125122070312,3926.38916015625,2387.640869140625,47.73331832885742,12.711803436279297,6625.22705078125,206.75613403320312,5375.1328125,2941.07421875,2194.233642578125,3247.72998046875,1401.745849609375,2847.49462890625,201.0432891845703,1237.9632568359375,11616.7939453125,253.427978515625,1381.964111328125,2519.88671875,377.3575439453125,989.279296875,704.2523803710938,149.3653564453125,1718.777587890625,877.4793701171875,59.91514205932617,1163.13232421875,1558.3935546875,1211.8721923828125,536.5260009765625,5793.43115234375,165.6512451171875,283.6813659667969,664.6358032226562,257.1711730957031,35.12141036987305,234.7263336181641,9029.3857421875,133.55783081054688,1908.314697265625,194.79547119140625,412.13134765625,866.4859008789062,167.45684814453125,7455.017578125,235.5,1336.8714599609375,2573.00390625,2714.959716796875,670.8766479492188,1814.8497314453125,5743.3427734375,6971.0439453125,639.6454467773438,107.7318878173828,524.6925659179688,224.9044647216797,578.7099609375,581.6297607421875,974.7986450195312,1388.628173828125,1539.9727783203125,1220.70263671875,1570.261962890625,11473.673828125,1513.6646728515625,465.2641296386719,1152.76708984375,2310.6474609375,300.41796875,4734.46240234375,897.7665405273438,123.95306396484376,2038.22509765625,3043.7900390625
2021-01-06,80.14535522460938,2684.178955078125,302.4344787597656,2258.520263671875,3008.40087890625,921.88427734375,1581.3770751953125,609.3960571289062,341.36029052734375,7502.68359375,504.2091369628906,279.8411865234375,154.7584686279297,2801.43212890625,169.47312927246094,374.7687072753906,1260.2076416015625,4942.86328125,487.3047790527344,2497.553466796875,289.0118103027344,1832.0548095703125,140.72662353515625,671.3660888671875,4011.24609375,2412.595458984375,50.71976852416992,12.82578945159912,6613.2431640625,207.9547576904297,5588.701171875,2942.072509765625,2222.21142578125,3247.72998046875,1458.6949462890625,2876.468994140625,202.0422821044922,1244.9517822265625,11706.6142578125,273.2254638671875,1415.12158203125,2568.865234375,414.78424072265625,1002.6615600585938,709.4439086914062,158.0104522705078,1776.6353759765625,884.4593505859375,60.95339584350586,1200.0726318359375,1589.272216796875,1254.832275390625,571.095458984375,5865.32470703125,170.8890838623047,284.3796081542969,690.8505249023438,272.6034240722656,37.06650161743164,235.1251678466797,9127.3134765625,139.4559326171875,2000.9888916015625,202.4081115722656,423.3014526367187,880.0496826171875,179.5292205810547,7668.64599609375,235.0,1404.7083740234375,2612.973876953125,2781.712890625,697.2403564453125,1898.7506103515625,6088.859375,7000.14208984375,644.2413940429688,111.03133392333984,538.0795288085938,231.78318786621097,597.8701782226562,579.2329711914062,974.9982299804688,1470.4527587890625,1582.4169921875,1239.6982421875,1622.1881103515625,11628.5224609375,1589.970947265625,508.8857421875,1187.6998291015625,2373.50244140625,309.246337890625,4767.548828125,930.086181640625,129.05384826660156,2105.166748046875,3137.66015625
2021-01-07,79.54652404785156,2745.038330078125,304.9240417480469,2226.568603515625,2966.54833984375,919.8865356445312,1585.86962890625,583.0136108398438,343.6189270019531,7465.728515625,498.51806640625,278.04156494140625,155.8365020751953,2788.484619140625,168.17642211914062,373.3702697753906,1284.1357421875,4897.30712890625,465.5517578125,2527.512451171875,294.1976318359375,1857.021484375,146.5133514404297,686.9190063476562,4066.154541015625,2395.626220703125,49.65104293823242,12.889622688293455,6573.29638671875,207.55520629882812,5530.818359375,2984.508544921875,2260.180908203125,3247.72998046875,1465.688720703125,2820.623046875,203.04852294921875,1245.45068359375,11626.7724609375,277.81329345703125,1404.671875,2558.86962890625,415.6813659667969,993.673583984375,718.4290161132812,157.26089477539062,1785.61328125,876.4821166992188,60.29499816894531,1193.5830078125,1631.607177734375,1282.80615234375,569.69677734375,5801.419921875,167.97027587890625,283.7811279296875,685.6675415039062,273.7982482910156,36.79718017578125,234.52684020996097,9011.3984375,141.30535888671875,2068.98583984375,198.62667846679688,423.4177551269531,877.4566040039062,179.6901092529297,7680.62451171875,237.0,1395.5020751953125,2647.946044921875,2793.668701171875,681.6617431640625,1864.790771484375,6283.02490234375,6929.4755859375,626.456787109375,111.0813217163086,530.4869384765625,247.73385620117188,603.8048095703125,575.0385131835938,960.4251098632812,1471.2508544921875,1573.4288330078125,1248.6956787109375,1599.2208251953125,11688.462890625,1595.955810546875,511.2814636230469,1182.7091064453125,2352.55078125,310.2552490234375,4746.203125,922.7045288085938,130.6677703857422,2101.171142578125,3109.698974609375
2021-01-08,78.04940032958984,2748.93408203125,303.5298767089844,2215.58642578125,2953.59423828125,923.8818969726562,1564.4052734375,594.60595703125,342.34234619140625,7461.73388671875,499.8160705566406,271.44293212890625,152.642333984375,2788.484619140625,168.57537841796875,366.1785583496094,1284.1357421875,4904.55419921875,463.7569580078125,2501.548583984375,297.8876647949219,1832.0548095703125,142.67214965820312,717.8253173828125,4153.00732421875,2426.56982421875,50.10050582885742,13.436758041381836,6603.2578125,207.35543823242188,5514.8505859375,3033.43505859375,2234.201171875,3052.368408203125,1473.681640625,2875.576416015625,203.04852294921875,1202.521484375,11656.7158203125,275.71893310546875,1415.12158203125,2610.8466796875,410.398681640625,986.2833251953124,716.0330810546875,156.66123962402344,1774.6402587890625,873.9893188476562,60.97872543334961,1168.1240234375,1631.607177734375,1279.808837890625,565.7001953125,5827.38037109375,170.0894012451172,285.2773132324219,680.8829345703125,275.7895202636719,36.73234558105469,235.1251678466797,9199.2626953125,137.8564453125,2058.01904296875,197.5818023681641,432.95892333984375,877.6561279296875,177.16835021972656,7670.642578125,238.0,1385.81103515625,2677.923095703125,2860.421875,680.2637329101562,1884.76708984375,6283.02490234375,6921.16162109375,634.25,107.2819595336914,545.0726928710938,242.05142211914065,602.7874755859375,584.226318359375,961.42333984375,1465.064208984375,1581.4183349609375,1277.688720703125,1617.195068359375,11708.443359375,1607.92578125,507.48822021484375,1184.7054443359375,2363.525146484375,309.876953125,4749.404296875,933.2781982421876,127.95799255371094,2097.173583984375,3080.739013671875
2021-01-11,77.45057678222656,2686.126220703125,296.9573669433594,2216.58447265625,2964.55517578125,922.8829956054688,1547.9324951171875,590.8084106445312,339.494384765625,7546.6279296875,495.62261962890625,262.5448303222656,150.92543029785156,2768.0693359375,166.08163452148438,361.78363037109375,1226.3094482421875,4801.01708984375,450.69476318359375,2479.578369140625,297.9873352050781,1804.092041015625,142.37286376953125,698.8826904296875,4160.994140625,2345.717529296875,50.060550689697266,12.857706069946287,6613.2431640625,204.3589782714844,5496.8876953125,2952.05712890625,2162.259033203125,3025.53076171875,1436.714599609375,2830.6142578125,203.2982482910156,1177.0633544921875,11606.8125,269.83441162109375,1401.657958984375,2593.85400390625,406.8603515625,965.3114013671876,702.8544921875,152.76345825195312,1740.7237548828125,872.49365234375,60.00377655029297,1155.144775390625,1604.712158203125,1250.8358154296875,544.9186401367188,5713.54931640625,176.5667266845703,278.793701171875,655.9640502929688,274.19647216796875,36.07400894165039,230.3388671875,9197.2646484375,134.25758361816406,2030.6005859375,195.59152221679688,427.0248718261719,875.2623901367188,173.73448181152344,7590.78125,234.0,1376.6046142578125,2732.88037109375,2797.65380859375,676.0694580078125,1865.7894287109375,6167.5205078125,6813.08349609375,631.0528564453125,105.7322235107422,537.8797607421875,235.77085876464844,596.683349609375,579.4326782226562,953.2383422851562,1459.276611328125,1554.453857421875,1242.6971435546875,1574.755859375,11628.5224609375,1590.469970703125,505.8910827636719,1175.2236328125,2334.592529296875,308.2374572753906,4713.11669921875,928.8890991210938,127.8185043334961,2071.1962890625,3022.819091796875
2021-01-12,76.25288391113281,2662.268798828125,300.14404296875,2217.582763671875,2950.6044921875,910.8975830078124,1539.446533203125,582.6138305664062,340.0835876464844,7395.8154296875,493.32623291015625,264.04449462890625,153.95993041992188,2717.776611328125,165.1839599609375,361.5838623046875,1202.381591796875,4691.267578125,451.19329833984375,2463.60009765625,304.17047119140625,1759.152099609375,143.66986083984375,687.9159545898438,4068.15087890625,2339.728515625,50.539981842041016,12.81210994720459,6413.50830078125,203.36016845703125,5558.76171875,2919.60595703125,2134.28173828125,3025.53076171875,1419.7298583984375,2726.701904296875,199.0524749755859,1128.1439208984375,10828.3720703125,275.6689758300781,1373.5238037109375,2537.87939453125,411.44525146484375,966.9093017578124,692.870849609375,157.81057739257812,1746.7091064453125,869.5023193359375,61.73841857910156,1148.15576171875,1582.7979736328125,1258.828369140625,547.1166381835938,5569.7607421875,171.52879333496094,283.880859375,645.4981689453125,274.096923828125,36.65254211425781,228.9429168701172,8969.4296875,134.4075469970703,2032.24560546875,196.98471069335935,434.5878601074219,853.7200317382812,175.12950134277344,7656.6669921875,230.0,1383.873046875,2707.899658203125,2774.738525390625,670.47705078125,1823.33984375,6101.80322265625,6607.31884765625,622.66015625,107.7318878173828,528.4888305664062,234.4748382568359,590.2401123046875,566.849365234375,937.2679443359376,1487.6162109375,1516.004150390625,1211.7049560546875,1530.8184814453125,11283.86328125,1565.5328369140625,510.48291015625,1181.2122802734375,2312.64306640625,303.9493103027344,4611.724609375,918.9138793945312,125.22826385498048,2046.2181396484375,3090.724853515625
2021-01-13,75.35459899902344,2653.9921875,302.03607177734375,2217.582763671875,2937.64990234375,906.90234375,1527.46630859375,586.6112060546875,345.58306884765625,7519.66064453125,493.0266723632813,260.84515380859375,152.08335876464844,2743.171875,167.87710571289062,350.19696044921875,1206.3695068359375,4625.00439453125,451.6918640136719,2487.5673828125,303.073486328125,1725.197265625,142.47264099121094,673.1607666015625,4038.201171875,2321.76123046875,49.51120376586914,12.766517639160156,6445.46630859375,202.9606170654297,5688.49951171875,2926.59619140625,2138.27880859375,3025.53076171875,1390.25634765625,2731.69775390625,198.5529632568359,1122.6529541015625,10828.3720703125,276.5167541503906,1379.150634765625,2544.87548828125,401.8269653320313,964.312744140625,712.0394897460938,152.41363525390625,1734.73828125,869.0037231445312,61.39655685424805,1156.6427001953125,1600.7276611328125,1294.794921875,536.326171875,5643.65283203125,171.12896728515625,282.1851806640625,650.3822631835938,273.7982482910156,36.15380859375,229.341796875,9135.3076171875,133.0079803466797,2034.4390869140625,199.02471923828125,430.16644287109375,872.0711059570312,171.80287170410156,7866.30126953125,230.5,1370.7901611328125,2682.919189453125,2602.376220703125,673.8724365234375,1812.852294921875,5968.3759765625,6555.35791015625,626.2569580078125,105.58224487304688,532.48486328125,239.5591583251953,589.0531616210938,564.8519287109375,949.0462036132812,1474.4444580078125,1517.502685546875,1220.70263671875,1570.761474609375,11398.74609375,1572.515380859375,498.1051330566406,1186.7015380859375,2344.5693359375,305.33660888671875,4644.81103515625,935.4727172851562,127.04144287109376,2030.232177734375,3055.7734375
2021-01-14,80.34498596191406,2739.1962890625,306.6169128417969,2251.53076171875,2940.64013671875,904.9049072265624,1569.39697265625,577.4174194335938,344.20819091796875,7549.62353515625,500.8144836425781,263.4446105957031,152.58242797851562,2769.064697265625,177.5527801513672,349.39788818359375,1256.2198486328125,4636.39404296875,453.7858581542969,2453.6142578125,308.4089050292969,1729.6915283203125,140.92616271972656,693.6984252929688,3993.276611328125,2329.746337890625,51.13926315307617,13.021845817565918,6433.482421875,201.362548828125,5706.462890625,2921.10400390625,2070.33349609375,2883.88623046875,1404.24365234375,2708.717041015625,198.80267333984375,1118.16015625,11277.46875,284.2462463378906,1400.05029296875,2561.867919921875,406.8603515625,965.3114013671876,692.671142578125,162.108154296875,1714.7872314453125,863.51953125,61.91569519042969,1159.6376953125,1634.5953369140625,1289.7996826171875,542.92041015625,5591.728515625,170.2093505859375,278.8935241699219,663.2403564453125,278.7763366699219,36.36328125,231.9342803955078,9317.1748046875,138.05636596679688,2043.2130126953125,198.4276580810547,431.6790466308594,870.076416015625,172.82232666015625,7946.16259765625,229.5,1387.749267578125,2692.9111328125,2660.162353515625,678.6658935546875,1826.33642578125,6105.78662109375,6574.064453125,613.4680786132812,106.63207244873048,526.6905517578125,241.6526641845703,590.7487182617188,564.36572265625,964.4178466796876,1500.5880126953125,1524.99267578125,1236.69873046875,1585.24072265625,11518.630859375,1525.37158203125,497.306640625,1194.68603515625,2334.592529296875,304.453857421875,4646.9462890625,932.0811767578124,128.45614624023438,2009.250244140625,3187.59130859375
2021-01-15,78.54842376708984,2593.61865234375,303.0318908691406,2245.539794921875,2912.73779296875,895.9157104492188,1511.9920654296875,565.6250610351562,342.2439880371094,7582.5830078125,494.8238830566406,220.25372314453125,148.52981567382812,2758.6083984375,175.75730895996094,348.99835205078125,1192.4117431640625,4625.00439453125,448.5010681152344,2434.640869140625,301.6274719238281,1713.7127685546875,140.52708435058594,693.4990234375,4001.2626953125,2300.7998046875,50.55995559692383,12.775635719299316,6357.58154296875,198.96534729003903,5702.4716796875,2898.6376953125,2120.293212890625,2883.88623046875,1400.2474365234375,2679.741943359375,195.55593872070312,1085.7135009765625,10688.6455078125,279.1596984863281,1420.3463134765625,2555.870849609375,401.9266052246094,996.6696166992188,688.8773803710938,162.15811157226562,1694.83642578125,868.5050659179688,61.383907318115234,1140.1688232421875,1628.1204833984375,1276.8116455078125,536.5260009765625,5565.767578125,165.8911590576172,268.7192687988281,655.5652465820312,271.8069763183594,35.84458923339844,230.73773193359375,9127.3134765625,139.55592346191406,1984.537841796875,195.3427734375,423.4177551269531,873.068359375,170.13958740234375,8004.06103515625,226.5,1386.2955322265625,2672.92626953125,2680.088623046875,677.068115234375,1823.33984375,5920.58154296875,6520.025390625,610.2708740234375,105.88219451904295,520.2967529296875,237.2662048339844,584.3053588867188,564.36572265625,959.2274169921876,1479.832763671875,1493.0347900390625,1233.699462890625,1574.755859375,11423.7236328125,1515.8941650390625,488.8218078613281,1169.2353515625,2337.58544921875,304.7060546875,4689.63671875,934.47509765625,126.74256134033205,1986.2705078125,3164.62255859375
