Stock 1,Stock 2,Distance
DGE.L,RR.L,1.9254450661684892
IMB.L,BME.L,1.906975656619714
WEIR.L,DGE.L,1.8946399451614857
MKS.L,DGE.L,1.8698961482607865
TSCO.L,DGE.L,1.8638086437718582
HSBA.L,DGE.L,1.859901938595237
NWG.L,BME.L,1.8541407376616132
STAN.L,DGE.L,1.8520698492220735
STAN.L,BME.L,1.846321043862783
CCH.L,DGE.L,1.8391425047228132
