k,KShape Inertia,DTW Silhouette Score,Smallest Cluster,Largest Cluster,Singleton Clusters
2,0.0795960596130789,0.4953068873189624,33,65,0
3,0.060989418684265634,0.28873798079738405,17,50,0
4,0.0460386706134194,0.2743276443002255,12,44,0
5,0.038069114705127895,0.2586354230721857,6,43,0
6,0.0316026409491942,0.1265148984585371,6,43,0
7,0.03106706441939238,0.10612921548838895,3,27,0
8,0.02839674718664909,0.10420066278273345,1,43,1
9,0.027264980583377892,0.09174598592926746,2,26,0
10,0.025061382901475488,0.036250845176908214,4,17,0
