eps,min_samples,Ticker,Cluster
2.7376018370454984,3,AAF.L,-1
2.7376018370454984,3,AAL.L,-1
2.7376018370454984,3,ABDN.L,-1
2.7376018370454984,3,ABF.L,0
2.7376018370454984,3,ADM.L,0
2.7376018370454984,3,ALW.L,1
2.7376018370454984,3,ANTO.L,1
2.7376018370454984,3,AUTO.L,1
2.7376018370454984,3,AV.L,-1
2.7376018370454984,3,AZN.L,-1
2.7376018370454984,3,BA.L,-1
2.7376018370454984,3,BAB.L,-1
2.7376018370454984,3,BARC.L,-1
2.7376018370454984,3,BATS.L,-1
2.7376018370454984,3,BBOX.L,0
2.7376018370454984,3,BEZ.L,-1
2.7376018370454984,3,BGEO.L,-1
2.7376018370454984,3,BKG.L,0
2.7376018370454984,3,BLND.L,0
2.7376018370454984,3,BNZL.L,-1
2.7376018370454984,3,BP.L,-1
2.7376018370454984,3,BRBY.L,0
2.7376018370454984,3,BT-A.L,-1
2.7376018370454984,3,BTRW.L,0
2.7376018370454984,3,CCEP.L,-1
2.7376018370454984,3,CCH.L,1
2.7376018370454984,3,CNA.L,-1
2.7376018370454984,3,CPG.L,3
2.7376018370454984,3,CRDA.L,-1
2.7376018370454984,3,CTEC.L,1
2.7376018370454984,3,DCC.L,0
2.7376018370454984,3,DGE.L,-1
2.7376018370454984,3,DPLM.L,-1
2.7376018370454984,3,EDV.L,-1
2.7376018370454984,3,ENT.L,-1
2.7376018370454984,3,EXPN.L,1
2.7376018370454984,3,FCIT.L,1
2.7376018370454984,3,FRES.L,-1
2.7376018370454984,3,GAW.L,1
2.7376018370454984,3,GLEN.L,-1
2.7376018370454984,3,GSK.L,1
2.7376018370454984,3,HLMA.L,1
2.7376018370454984,3,HSBA.L,-1
2.7376018370454984,3,HSX.L,1
2.7376018370454984,3,HWDN.L,1
2.7376018370454984,3,IAG.L,-1
2.7376018370454984,3,ICG.L,1
2.7376018370454984,3,IGG.L,1
2.7376018370454984,3,IHG.L,-1
2.7376018370454984,3,III.L,-1
2.7376018370454984,3,IMB.L,-1
2.7376018370454984,3,IMI.L,-1
2.7376018370454984,3,INF.L,2
2.7376018370454984,3,ITRK.L,0
2.7376018370454984,3,JD.L,0
2.7376018370454984,3,KGF.L,0
2.7376018370454984,3,LAND.L,0
2.7376018370454984,3,LGEN.L,0
2.7376018370454984,3,LLOY.L,-1
2.7376018370454984,3,LMP.L,0
2.7376018370454984,3,LSEG.L,0
2.7376018370454984,3,MKS.L,-1
2.7376018370454984,3,MNDI.L,0
2.7376018370454984,3,MNG.L,1
2.7376018370454984,3,MRO.L,-1
2.7376018370454984,3,NG.L,1
2.7376018370454984,3,NWG.L,-1
2.7376018370454984,3,NXT.L,-1
2.7376018370454984,3,PCT.L,-1
2.7376018370454984,3,PRU.L,0
2.7376018370454984,3,PSH.L,2
2.7376018370454984,3,PSN.L,-1
2.7376018370454984,3,PSON.L,2
2.7376018370454984,3,REL.L,3
2.7376018370454984,3,RIO.L,0
2.7376018370454984,3,RKT.L,0
2.7376018370454984,3,RMV.L,0
2.7376018370454984,3,RR.L,-1
2.7376018370454984,3,RTO.L,0
2.7376018370454984,3,SBRY.L,1
2.7376018370454984,3,SDR.L,0
2.7376018370454984,3,SGE.L,3
2.7376018370454984,3,SGRO.L,0
2.7376018370454984,3,SHEL.L,-1
2.7376018370454984,3,SMIN.L,1
2.7376018370454984,3,SMT.L,0
2.7376018370454984,3,SN.L,0
2.7376018370454984,3,SPX.L,0
2.7376018370454984,3,SSE.L,1
2.7376018370454984,3,STAN.L,-1
2.7376018370454984,3,STJ.L,-1
2.7376018370454984,3,SVT.L,1
2.7376018370454984,3,TSCO.L,1
2.7376018370454984,3,ULVR.L,0
2.7376018370454984,3,UU.L,1
2.7376018370454984,3,VOD.L,0
2.7376018370454984,3,WEIR.L,1
2.7376018370454984,3,WTB.L,0
3.3874379866838997,3,AAF.L,-1
3.3874379866838997,3,AAL.L,0
3.3874379866838997,3,ABDN.L,0
3.3874379866838997,3,ABF.L,0
3.3874379866838997,3,ADM.L,0
3.3874379866838997,3,ALW.L,0
3.3874379866838997,3,ANTO.L,0
3.3874379866838997,3,AUTO.L,0
3.3874379866838997,3,AV.L,1
3.3874379866838997,3,AZN.L,-1
3.3874379866838997,3,BA.L,-1
3.3874379866838997,3,BAB.L,-1
3.3874379866838997,3,BARC.L,-1
3.3874379866838997,3,BATS.L,0
3.3874379866838997,3,BBOX.L,0
3.3874379866838997,3,BEZ.L,-1
3.3874379866838997,3,BGEO.L,-1
3.3874379866838997,3,BKG.L,0
3.3874379866838997,3,BLND.L,0
3.3874379866838997,3,BNZL.L,-1
3.3874379866838997,3,BP.L,-1
3.3874379866838997,3,BRBY.L,0
3.3874379866838997,3,BT-A.L,0
3.3874379866838997,3,BTRW.L,0
3.3874379866838997,3,CCEP.L,-1
3.3874379866838997,3,CCH.L,0
3.3874379866838997,3,CNA.L,-1
3.3874379866838997,3,CPG.L,2
3.3874379866838997,3,CRDA.L,0
3.3874379866838997,3,CTEC.L,0
3.3874379866838997,3,DCC.L,0
3.3874379866838997,3,DGE.L,-1
3.3874379866838997,3,DPLM.L,-1
3.3874379866838997,3,EDV.L,-1
3.3874379866838997,3,ENT.L,0
3.3874379866838997,3,EXPN.L,0
3.3874379866838997,3,FCIT.L,0
3.3874379866838997,3,FRES.L,-1
3.3874379866838997,3,GAW.L,0
3.3874379866838997,3,GLEN.L,-1
3.3874379866838997,3,GSK.L,0
3.3874379866838997,3,HLMA.L,0
3.3874379866838997,3,HSBA.L,-1
3.3874379866838997,3,HSX.L,0
3.3874379866838997,3,HWDN.L,0
3.3874379866838997,3,IAG.L,-1
3.3874379866838997,3,ICG.L,0
3.3874379866838997,3,IGG.L,0
3.3874379866838997,3,IHG.L,-1
3.3874379866838997,3,III.L,-1
3.3874379866838997,3,IMB.L,1
3.3874379866838997,3,IMI.L,1
3.3874379866838997,3,INF.L,3
3.3874379866838997,3,ITRK.L,0
3.3874379866838997,3,JD.L,0
3.3874379866838997,3,KGF.L,0
3.3874379866838997,3,LAND.L,0
3.3874379866838997,3,LGEN.L,0
3.3874379866838997,3,LLOY.L,-1
3.3874379866838997,3,LMP.L,0
3.3874379866838997,3,LSEG.L,0
3.3874379866838997,3,MKS.L,-1
3.3874379866838997,3,MNDI.L,0
3.3874379866838997,3,MNG.L,0
3.3874379866838997,3,MRO.L,-1
3.3874379866838997,3,NG.L,0
3.3874379866838997,3,NWG.L,-1
3.3874379866838997,3,NXT.L,-1
3.3874379866838997,3,PCT.L,-1
3.3874379866838997,3,PRU.L,0
3.3874379866838997,3,PSH.L,3
3.3874379866838997,3,PSN.L,0
3.3874379866838997,3,PSON.L,3
3.3874379866838997,3,REL.L,2
3.3874379866838997,3,RIO.L,0
3.3874379866838997,3,RKT.L,0
3.3874379866838997,3,RMV.L,0
3.3874379866838997,3,RR.L,-1
3.3874379866838997,3,RTO.L,0
3.3874379866838997,3,SBRY.L,0
3.3874379866838997,3,SDR.L,0
3.3874379866838997,3,SGE.L,2
3.3874379866838997,3,SGRO.L,0
3.3874379866838997,3,SHEL.L,-1
3.3874379866838997,3,SMIN.L,0
3.3874379866838997,3,SMT.L,0
3.3874379866838997,3,SN.L,0
3.3874379866838997,3,SPX.L,0
3.3874379866838997,3,SSE.L,0
3.3874379866838997,3,STAN.L,-1
3.3874379866838997,3,STJ.L,-1
3.3874379866838997,3,SVT.L,0
3.3874379866838997,3,TSCO.L,0
3.3874379866838997,3,ULVR.L,0
3.3874379866838997,3,UU.L,0
3.3874379866838997,3,VOD.L,0
3.3874379866838997,3,WEIR.L,0
3.3874379866838997,3,WTB.L,0
4.037274136322301,3,AAF.L,-1
4.037274136322301,3,AAL.L,0
4.037274136322301,3,ABDN.L,0
4.037274136322301,3,ABF.L,0
4.037274136322301,3,ADM.L,0
4.037274136322301,3,ALW.L,0
4.037274136322301,3,ANTO.L,0
4.037274136322301,3,AUTO.L,0
4.037274136322301,3,AV.L,0
4.037274136322301,3,AZN.L,-1
4.037274136322301,3,BA.L,-1
4.037274136322301,3,BAB.L,-1
4.037274136322301,3,BARC.L,-1
4.037274136322301,3,BATS.L,0
4.037274136322301,3,BBOX.L,0
4.037274136322301,3,BEZ.L,-1
4.037274136322301,3,BGEO.L,-1
4.037274136322301,3,BKG.L,0
4.037274136322301,3,BLND.L,0
4.037274136322301,3,BNZL.L,-1
4.037274136322301,3,BP.L,-1
4.037274136322301,3,BRBY.L,0
4.037274136322301,3,BT-A.L,0
4.037274136322301,3,BTRW.L,0
4.037274136322301,3,CCEP.L,0
4.037274136322301,3,CCH.L,0
4.037274136322301,3,CNA.L,-1
4.037274136322301,3,CPG.L,1
4.037274136322301,3,CRDA.L,0
4.037274136322301,3,CTEC.L,0
4.037274136322301,3,DCC.L,0
4.037274136322301,3,DGE.L,-1
4.037274136322301,3,DPLM.L,-1
4.037274136322301,3,EDV.L,-1
4.037274136322301,3,ENT.L,0
4.037274136322301,3,EXPN.L,0
4.037274136322301,3,FCIT.L,0
4.037274136322301,3,FRES.L,-1
4.037274136322301,3,GAW.L,0
4.037274136322301,3,GLEN.L,-1
4.037274136322301,3,GSK.L,0
4.037274136322301,3,HLMA.L,0
4.037274136322301,3,HSBA.L,-1
4.037274136322301,3,HSX.L,0
4.037274136322301,3,HWDN.L,0
4.037274136322301,3,IAG.L,-1
4.037274136322301,3,ICG.L,0
4.037274136322301,3,IGG.L,0
4.037274136322301,3,IHG.L,-1
4.037274136322301,3,III.L,-1
4.037274136322301,3,IMB.L,0
4.037274136322301,3,IMI.L,0
4.037274136322301,3,INF.L,0
4.037274136322301,3,ITRK.L,0
4.037274136322301,3,JD.L,0
4.037274136322301,3,KGF.L,0
4.037274136322301,3,LAND.L,0
4.037274136322301,3,LGEN.L,0
4.037274136322301,3,LLOY.L,-1
4.037274136322301,3,LMP.L,0
4.037274136322301,3,LSEG.L,0
4.037274136322301,3,MKS.L,-1
4.037274136322301,3,MNDI.L,0
4.037274136322301,3,MNG.L,0
4.037274136322301,3,MRO.L,0
4.037274136322301,3,NG.L,0
4.037274136322301,3,NWG.L,-1
4.037274136322301,3,NXT.L,0
4.037274136322301,3,PCT.L,0
4.037274136322301,3,PRU.L,0
4.037274136322301,3,PSH.L,0
4.037274136322301,3,PSN.L,0
4.037274136322301,3,PSON.L,0
4.037274136322301,3,REL.L,1
4.037274136322301,3,RIO.L,0
4.037274136322301,3,RKT.L,0
4.037274136322301,3,RMV.L,0
4.037274136322301,3,RR.L,-1
4.037274136322301,3,RTO.L,0
4.037274136322301,3,SBRY.L,0
4.037274136322301,3,SDR.L,0
4.037274136322301,3,SGE.L,1
4.037274136322301,3,SGRO.L,0
4.037274136322301,3,SHEL.L,-1
4.037274136322301,3,SMIN.L,0
4.037274136322301,3,SMT.L,0
4.037274136322301,3,SN.L,0
4.037274136322301,3,SPX.L,0
4.037274136322301,3,SSE.L,0
4.037274136322301,3,STAN.L,-1
4.037274136322301,3,STJ.L,-1
4.037274136322301,3,SVT.L,0
4.037274136322301,3,TSCO.L,0
4.037274136322301,3,ULVR.L,0
4.037274136322301,3,UU.L,0
4.037274136322301,3,VOD.L,0
4.037274136322301,3,WEIR.L,0
4.037274136322301,3,WTB.L,0
4.687110285960703,3,AAF.L,-1
4.687110285960703,3,AAL.L,0
4.687110285960703,3,ABDN.L,0
4.687110285960703,3,ABF.L,0
4.687110285960703,3,ADM.L,0
4.687110285960703,3,ALW.L,0
4.687110285960703,3,ANTO.L,0
4.687110285960703,3,AUTO.L,0
4.687110285960703,3,AV.L,0
4.687110285960703,3,AZN.L,0
4.687110285960703,3,BA.L,-1
4.687110285960703,3,BAB.L,-1
4.687110285960703,3,BARC.L,-1
4.687110285960703,3,BATS.L,0
4.687110285960703,3,BBOX.L,0
4.687110285960703,3,BEZ.L,-1
4.687110285960703,3,BGEO.L,-1
4.687110285960703,3,BKG.L,0
4.687110285960703,3,BLND.L,0
4.687110285960703,3,BNZL.L,0
4.687110285960703,3,BP.L,-1
4.687110285960703,3,BRBY.L,0
4.687110285960703,3,BT-A.L,0
4.687110285960703,3,BTRW.L,0
4.687110285960703,3,CCEP.L,0
4.687110285960703,3,CCH.L,0
4.687110285960703,3,CNA.L,-1
4.687110285960703,3,CPG.L,1
4.687110285960703,3,CRDA.L,0
4.687110285960703,3,CTEC.L,0
4.687110285960703,3,DCC.L,0
4.687110285960703,3,DGE.L,-1
4.687110285960703,3,DPLM.L,-1
4.687110285960703,3,EDV.L,0
4.687110285960703,3,ENT.L,0
4.687110285960703,3,EXPN.L,0
4.687110285960703,3,FCIT.L,0
4.687110285960703,3,FRES.L,-1
4.687110285960703,3,GAW.L,0
4.687110285960703,3,GLEN.L,-1
4.687110285960703,3,GSK.L,0
4.687110285960703,3,HLMA.L,0
4.687110285960703,3,HSBA.L,-1
4.687110285960703,3,HSX.L,0
4.687110285960703,3,HWDN.L,0
4.687110285960703,3,IAG.L,-1
4.687110285960703,3,ICG.L,0
4.687110285960703,3,IGG.L,0
4.687110285960703,3,IHG.L,-1
4.687110285960703,3,III.L,-1
4.687110285960703,3,IMB.L,0
4.687110285960703,3,IMI.L,0
4.687110285960703,3,INF.L,0
4.687110285960703,3,ITRK.L,0
4.687110285960703,3,JD.L,0
4.687110285960703,3,KGF.L,0
4.687110285960703,3,LAND.L,0
4.687110285960703,3,LGEN.L,0
4.687110285960703,3,LLOY.L,-1
4.687110285960703,3,LMP.L,0
4.687110285960703,3,LSEG.L,0
4.687110285960703,3,MKS.L,-1
4.687110285960703,3,MNDI.L,0
4.687110285960703,3,MNG.L,0
4.687110285960703,3,MRO.L,0
4.687110285960703,3,NG.L,0
4.687110285960703,3,NWG.L,-1
4.687110285960703,3,NXT.L,0
4.687110285960703,3,PCT.L,0
4.687110285960703,3,PRU.L,0
4.687110285960703,3,PSH.L,0
4.687110285960703,3,PSN.L,0
4.687110285960703,3,PSON.L,0
4.687110285960703,3,REL.L,1
4.687110285960703,3,RIO.L,0
4.687110285960703,3,RKT.L,0
4.687110285960703,3,RMV.L,0
4.687110285960703,3,RR.L,-1
4.687110285960703,3,RTO.L,0
4.687110285960703,3,SBRY.L,0
4.687110285960703,3,SDR.L,0
4.687110285960703,3,SGE.L,1
