eps,min_samples,Number of Clusters,Noise Points,Noise Percentage,Silhouette Score,Smallest Cluster,Largest Cluster,Singleton Clusters
2.7376018370455397,3,4,40,40.816326530612244,0.4380096465374231,3,29,0
3.3874379866838944,3,4,30,30.612244897959183,0.392400213204229,3,59,0
4.0372741363222495,3,2,26,26.53061224489796,0.5052135095797087,3,69,0
4.687110285960604,3,2,23,23.46938775510204,0.48728740924746017,3,72,0
5.336946435598959,3,1,18,18.367346938775512,,80,80,0
5.9867825852373135,3,1,14,14.285714285714285,,84,84,0
6.636618734875668,3,1,14,14.285714285714285,,84,84,0
7.286454884514024,3,1,12,12.244897959183673,,86,86,0
7.936291034152378,3,2,9,9.183673469387756,0.40586785951947674,3,86,0
8.586127183790733,3,1,9,9.183673469387756,,89,89,0
9.235963333429087,3,1,9,9.183673469387756,,89,89,0
9.885799483067442,3,1,9,9.183673469387756,,89,89,0
10.535635632705798,3,1,8,8.16326530612245,,90,90,0
11.185471782344152,3,1,4,4.081632653061225,,94,94,0
11.835307931982507,3,1,4,4.081632653061225,,94,94,0
12.485144081620861,3,1,2,2.0408163265306123,,96,96,0
13.134980231259217,3,1,2,2.0408163265306123,,96,96,0
13.784816380897572,3,1,2,2.0408163265306123,,96,96,0
14.434652530535926,3,1,2,2.0408163265306123,,96,96,0
15.084488680174282,3,1,2,2.0408163265306123,,96,96,0
15.734324829812635,3,1,2,2.0408163265306123,,96,96,0
16.38416097945099,3,1,2,2.0408163265306123,,96,96,0
17.033997129089343,3,1,2,2.0408163265306123,,96,96,0
17.6838332787277,3,1,2,2.0408163265306123,,96,96,0
18.333669428366054,3,1,2,2.0408163265306123,,96,96,0
2.7376018370455397,4,4,47,47.95918367346938,0.32881693107549137,7,21,0
3.3874379866838944,4,1,39,39.795918367346935,,59,59,0
4.0372741363222495,4,1,31,31.63265306122449,,67,67,0
4.687110285960604,4,1,27,27.55102040816326,,71,71,0
5.336946435598959,4,1,20,20.408163265306122,,78,78,0
5.9867825852373135,4,1,16,16.3265306122449,,82,82,0
6.636618734875668,4,1,15,15.306122448979592,,83,83,0
7.286454884514024,4,1,14,14.285714285714285,,84,84,0
7.936291034152378,4,1,14,14.285714285714285,,84,84,0
8.586127183790733,4,1,12,12.244897959183673,,86,86,0
9.235963333429087,4,1,10,10.204081632653061,,88,88,0
9.885799483067442,4,1,9,9.183673469387756,,89,89,0
10.535635632705798,4,1,8,8.16326530612245,,90,90,0
11.185471782344152,4,1,6,6.122448979591836,,92,92,0
11.835307931982507,4,1,6,6.122448979591836,,92,92,0
12.485144081620861,4,1,4,4.081632653061225,,94,94,0
13.134980231259217,4,1,4,4.081632653061225,,94,94,0
13.784816380897572,4,1,4,4.081632653061225,,94,94,0
14.434652530535926,4,1,4,4.081632653061225,,94,94,0
15.084488680174282,4,1,4,4.081632653061225,,94,94,0
15.734324829812635,4,1,4,4.081632653061225,,94,94,0
16.38416097945099,4,1,4,4.081632653061225,,94,94,0
17.033997129089343,4,1,2,2.0408163265306123,,96,96,0
17.6838332787277,4,1,2,2.0408163265306123,,96,96,0
18.333669428366054,4,1,2,2.0408163265306123,,96,96,0
2.7376018370455397,5,4,53,54.08163265306123,0.3794375870836826,5,18,0
3.3874379866838944,5,1,40,40.816326530612244,,58,58,0
4.0372741363222495,5,1,36,36.734693877551024,,62,62,0
4.687110285960604,5,1,27,27.55102040816326,,71,71,0
5.336946435598959,5,1,23,23.46938775510204,,75,75,0
5.9867825852373135,5,1,17,17.346938775510203,,81,81,0
6.636618734875668,5,1,15,15.306122448979592,,83,83,0
7.286454884514024,5,1,14,14.285714285714285,,84,84,0
7.936291034152378,5,1,14,14.285714285714285,,84,84,0
8.586127183790733,5,1,13,13.26530612244898,,85,85,0
9.235963333429087,5,1,11,11.224489795918368,,87,87,0
9.885799483067442,5,1,10,10.204081632653061,,88,88,0
10.535635632705798,5,1,9,9.183673469387756,,89,89,0
11.185471782344152,5,1,7,7.142857142857142,,91,91,0
11.835307931982507,5,1,6,6.122448979591836,,92,92,0
12.485144081620861,5,1,5,5.1020408163265305,,93,93,0
