eps,min_samples,Number of Clusters,Noise Points,Noise Percentage,Silhouette Score,Smallest Cluster,Largest Cluster,Singleton Clusters,Silhouette Rank,Noise Rank,Singleton Rank,Mean Rank
4.037274136322301,3,2,26,26.53061224489796,0.5052135095797012,3,69,0,1.0,4.0,1.0,2.0
4.687110285960703,3,2,23,23.46938775510204,0.4872874092474522,3,72,0,2.0,3.0,1.0,2.0
7.286454884514308,8,2,16,16.3265306122449,0.45201494938197523,4,78,0,3.0,2.0,1.0,2.0
7.93629103415271,3,2,9,9.183673469387756,0.4058678595194791,3,86,0,5.0,1.0,1.0,2.3333333333333335
2.7376018370454984,3,4,40,40.816326530612244,0.4380096465374171,3,29,0,4.0,6.0,1.0,3.6666666666666665
3.3874379866838997,3,4,30,30.612244897959183,0.3924002132042213,3,59,0,6.0,5.0,1.0,4.0
2.7376018370454984,4,4,47,47.95918367346938,0.32881693107548393,7,21,0,7.0,7.0,1.0,5.0
3.3874379866838997,8,3,48,48.97959183673469,0.3066253523285816,5,26,0,8.0,8.0,1.0,5.666666666666667
