min_samples_3,min_samples_4,min_samples_5,min_samples_6,min_samples_8,min_samples_10
0.9925869370546077,1.5665382426536474,1.6923171774096701,2.0587891902044566,2.645909444235138,2.974890479583426
1.2842224343580937,1.6157871328230282,1.8681236455428865,2.220838398430078,2.6755956360376203,3.137574285092382
1.3547605668372535,1.6619316367874117,1.9750042217155008,2.2269304647855046,2.733907885805664,3.225588354045139
1.3547605668372535,1.6923171774096701,1.9750042217155008,2.2745782172959434,2.88471625763937,3.2556057746139175
1.358619470699963,1.6953369279873471,2.0239628869251356,2.4311196790566463,2.912133779490956,3.259408699157305
1.358619470699963,1.762531120501906,2.1878262488412714,2.467016762438811,2.9170839115322043,3.324740894178207
1.3856066620664889,1.803082497617331,2.220838398430078,2.6052303781860897,2.9227195786277305,3.324740894178207
1.41672963859733,1.8178191174240825,2.2704140790146567,2.6562519737023798,2.9322027133248234,3.343034456064075
1.530252910662358,1.83956491818888,2.3517012883457658,2.669227438496424,2.9362018677643396,3.492388868642346
1.5665382426536474,1.8681236455428865,2.366492083227497,2.671016887648426,3.0524532095559165,3.5279222377623434
1.5877243745478915,2.0239628869251356,2.4261009217628473,2.6877401053381456,3.1520006343155047,3.529210981814695
1.6297899752490415,2.182721023764595,2.4261009217628473,2.694807734324873,3.212835462390693,3.5315746950930835
1.6297899752490415,2.1878262488412714,2.486392667405075,2.725257700557446,3.2138109609756143,3.5420435309164326
1.7566185796445648,2.19205524384263,2.54014585772938,2.8861280435835845,3.2138109609756143,3.5463824847546817
1.762531120501906,2.2745782172959434,2.543284302276124,2.8861280435835845,3.219751144844891,3.6658558525558353
1.7993686768319637,2.366492083227497,2.543284302276124,2.9170839115322043,3.259408699157305,3.6658558525558353
1.7993686768319637,2.4311196790566463,2.573129920957151,2.9322027133248234,3.2613906849586938,3.701983005129339
1.803082497617331,2.467016762438811,2.6047103433391676,2.932689962573667,3.2993944991577138,3.703653182088319
1.8043704683120791,2.4686416370996493,2.645909444235138,2.9362018677643396,3.3609054750781437,3.7615878953831716
1.8043704683120791,2.4838852082955105,2.6505680067579833,2.971906415997199,3.3974059217489208,3.7817657517052754
1.8178191174240825,2.486392667405075,2.7016606983064975,2.978153962669391,3.4295898953266324,3.787708763020758
1.9979655223406239,2.5262231075570796,2.7016606983064975,2.987430096571076,3.5018396990189866,3.7934298063147036
2.0192949087337375,2.5272909283936045,2.7290621098111343,3.0263731947291213,3.517228426866477,3.878434401053125
2.056383342302629,2.543913838351718,2.7431427639052504,3.127207940498266,3.517228426866477,3.89375954196897
2.0587891902044566,2.593530868386321,2.772422204009671,3.144482325817513,3.5279222377623434,3.894092183692313
2.2008285618783123,2.6047103433391676,2.887731538842359,3.1547833323853105,3.584673668076734,3.898563097321301
2.2008285618783123,2.6505680067579833,2.8888645421054444,3.16111175047232,3.584673668076734,3.898878257810162
2.2269304647855046,2.6755956360376203,2.971906415997199,3.1635564184634126,3.615013462952246,3.9688110141332413
2.2704140790146567,2.6868092645732715,2.978153962669391,3.2058825586251474,3.62765584029752,3.9918894939857132
2.3517012883457658,2.733907885805664,3.0439214506153656,3.210183777654149,3.6921307252003635,4.050546227017482
2.4076129384096907,2.744163242928377,3.0524532095559165,3.343034456064075,3.6939643345577284,4.054215648766415
2.4271849680898403,2.744163242928377,3.0671199135642757,3.3974059217489208,3.787708763020758,4.161212934605621
2.4423189466953152,2.887731538842359,3.116588661002902,3.4772582531733147,3.7934298063147036,4.18843151529972
2.4686416370996493,2.8888645421054444,3.127207940498266,3.5123075325228568,3.814664466179554,4.210586460323072
2.4693664389656473,2.907359040082528,3.1947483518298525,3.5123075325228568,3.8925116312264962,4.238259414110266
2.477279901975827,2.912133779490956,3.212835462390693,3.5315746950930835,3.89375954196897,4.265816936969401
2.5272909283936045,3.0237388192554335,3.219751144844891,3.611376150194537,3.958268796505918,4.2666588489396124
2.54014585772938,3.0420892633459355,3.2200008360132704,3.6336276472897526,4.065554711472217,4.280190902718562
2.573129920957151,3.0420892633459355,3.2613906849586938,3.645973218068819,4.104094079866988,4.400875280163524
2.5830833136698845,3.043234761413456,3.2993944991577138,3.6759127760927592,4.105467742538374,4.432339379802479
2.593530868386321,3.061151643999155,3.3300304213542202,3.6925071892570824,4.112981068312553,4.551739755278976
2.6052303781860897,3.0671199135642757,3.3713914291874727,3.7914560035674065,4.127909359932103,4.553265896192301
2.648920137366762,3.1547833323853105,3.469116167181814,3.7976025940164586,4.139177072316226,4.6113170267284
2.669227438496424,3.16111175047232,3.5707757072068422,3.8490023068357377,4.15204096053652,4.640881444647206
2.671016887648426,3.1947483518298525,3.611376150194537,3.861286283800816,4.18843151529972,4.676946073714968
